GARD:0000001 ! GRACILE syndrome	ORPHANET:53693	OMIM:603358 ! GRACILE syndrome
GARD:0003690 ! Mixed sclerosing bone dystrophy	UMLS:C2931505	MESH:C537479 ! Mixed sclerosing bone dystrophy
GARD:0003692 ! Microphthalmia syndromic 5	ORPHANET:178364	OMIM:610125 ! Syndromic microphthalmia type 5
GARD:0003692 ! Microphthalmia syndromic 5	UMLS:C1864690	OMIM:610125 ! Syndromic microphthalmia type 5
GARD:0003693 ! Microphthalmia syndromic 8	ORPHANET:3434	OMIM:601349 ! Microphthalmia, Syndromic 8
GARD:0003693 ! Microphthalmia syndromic 8	UMLS:C1832440	OMIM:601349 ! Microphthalmia, Syndromic 8
GARD:0003697 ! Maturity-onset diabetes of the young	ORPHANET:552	DOID:0050524 ! maturity-onset diabetes of the young,OMIM:606391 ! Maturity-Onset Diabetes of the Young
GARD:0003698 ! Moebius axonal neuropathy hypogonadism	UMLS:C2931024	MESH:C535806 ! Moebius axonal neuropathy hypogonadism
GARD:0003699 ! Fryns syndrome	ORPHANET:2059	OMIM:229850 ! Fryns syndrome
GARD:0003701 ! Orofaciodigital syndrome 2	ORPHANET:2751	OMIM:252100 ! Orofaciodigital syndrome type 2
GARD:0003703 ! Dwarfism, mental retardation and eye abnormality	ORPHANET:2650	OMIM:223540 ! Dwarfism, Mental Retardation, and Eye Abnormality
GARD:0003703 ! Dwarfism, mental retardation and eye abnormality	UMLS:C0796076	OMIM:223540 ! Dwarfism, Mental Retardation, and Eye Abnormality
GARD:0003704 ! Moloney syndrome	UMLS:C2931026	Orphanet:1433 ! Choroidal atrophy - alopecia
GARD:0003705 ! Molybdenum cofactor deficiency	ORPHANET:99732	DC:0000279 ! Molybdenum Cofactor Deficiency,OMIM:252150 ! Molybdenum Cofactor Deficiency, Complementation Group a
GARD:0003705 ! Molybdenum cofactor deficiency	UMLS:C0268119	DC:0000279 ! Molybdenum Cofactor Deficiency,OMIM:252150 ! Molybdenum Cofactor Deficiency, Complementation Group a
GARD:0003707 ! Tetramelic monodactyly	ORPHANET:2564	OMIM:187510 ! Tetramelic monodactyly
GARD:0003707 ! Tetramelic monodactyly	UMLS:C1861233	OMIM:187510 ! Tetramelic monodactyly
GARD:0003711 ! Chromosome 10q deletion	ORPHANET:96148	OMIM:609625 ! distal 10q deletion syndrome
GARD:0003711 ! Chromosome 10q deletion	UMLS:C0795839	OMIM:609625 ! distal 10q deletion syndrome
GARD:0003726 ! Mosaic monosomy 18	UMLS:C2931250	MESH:C536581 ! Chromosome 18 mosaic monosomy
GARD:0003738 ! Chromosome 1q41-q42 deletion syndrome	ORPHANET:250999	DOID:0060412 ! chromosome 1q41-q42 deletion syndrome,OMIM:612530 ! Chromosome 1Q41-Q42 Deletion Syndrome
GARD:0003738 ! Chromosome 1q41-q42 deletion syndrome	UMLS:C2931584	DOID:0060412 ! chromosome 1q41-q42 deletion syndrome,OMIM:612530 ! Chromosome 1Q41-Q42 Deletion Syndrome
GARD:0003739 ! Chromosome 20p deletion	ORPHANET:1611	MESH:C535370 ! Chromosome 20, deletion 20p
GARD:0003739 ! Chromosome 20p deletion	UMLS:C2930887	MESH:C535370 ! Chromosome 20, deletion 20p
GARD:0003746 ! Chromosome 2q24 microdeletion syndrome	ORPHANET:1617	Orphanet:1617 ! 2q24 microdeletion syndrome
GARD:0003750 ! Chromosome 3p- syndrome	ORPHANET:1620	MESH:C536807 ! Chromosome 3, monosomy 3p25,OMIM:613792 ! 3p- syndrome
GARD:0003750 ! Chromosome 3p- syndrome	UMLS:C2931337	MESH:C536807 ! Chromosome 3, monosomy 3p25,OMIM:613792 ! 3p- syndrome
GARD:0003764 ! Chromosome 6q25 microdeletion syndrome	ORPHANET:251056	OMIM:612863 ! chromosome 6q24-q25 deletion syndrome
GARD:0003764 ! Chromosome 6q25 microdeletion syndrome	UMLS:C2931620	OMIM:612863 ! chromosome 6q24-q25 deletion syndrome
GARD:0003765 ! Chromosome 7q deletion	UMLS:C1513483	OMIM:252270 ! Monosomy 7 of Bone Marrow
GARD:0003769 ! Chromosome 8p23.1 deletion	ORPHANET:251071	DECIPHER:39 ! 8p23.1 Deletion Syndrome,Orphanet:251071 ! 8p23.1 microdeletion syndrome
GARD:0003769 ! Chromosome 8p23.1 deletion	UMLS:C2931638	DECIPHER:39 ! 8p23.1 Deletion Syndrome,Orphanet:251071 ! 8p23.1 microdeletion syndrome
GARD:0003773 ! Chromosome 9p deletion	ORPHANET:261112	OMIM:158170 ! Monosomy 9p
GARD:0003775 ! Chromosome Xp22 deletion syndrome	UMLS:C2931311	OMIM:300830 ! Chromosome Xp22 Deletion Syndrome
GARD:0003776 ! Chromosome Xq28 deletion syndrome	OMIM:300475 ! Deafness, Dystonia, and Cerebral Hypomyelination	MESH:C536755 ! X chromosome, monosomy Xq28
GARD:0003776 ! Chromosome Xq28 deletion syndrome	UMLS:C2931312	MESH:C536755 ! X chromosome, monosomy Xq28
GARD:0003784 ! Morillo-Cucci-Passarge syndrome	ORPHANET:3043	MESH:C536983 ! Morillo-Cucci Passarge syndrome
GARD:0003784 ! Morillo-Cucci-Passarge syndrome	UMLS:C2931382	MESH:C536983 ! Morillo-Cucci Passarge syndrome
GARD:0003785 ! Morquio syndrome A	ORPHANET:582	DOID:12804 ! mucopolysaccharidosis IV,OMIM:253000 ! Mucopolysaccharidosis type 4A,Orphanet:582 ! Mucopolysaccharidosis type 4
GARD:0003787 ! WDHA syndrome	UMLS:C0086768	DOID:6977 ! pancreatic cholera
GARD:0003788 ! Morse-Rawnsley-Sargent syndrome	ORPHANET:2570	OMIM:306990 ! Holoprosencephaly With Fetal Akinesia/Hypokinesia Sequence,Orphanet:2570 ! Morse-Rawnsley-Sargent syndrome
GARD:0003791 ! Motor neuropathy peripheral with dysautonomia	ORPHANET:2400	OMIM:252320 ! Peripheral motor neuropathy - dysautonomia
GARD:0003793 ! Mounier-Kuhn syndrome	ORPHANET:3347	Orphanet:3347 ! Mounier-KC<hn syndrome
GARD:0003795 ! Mousa Al din Al Nassar syndrome	ORPHANET:2572	OMIM:271320 ! Spinocerebellar Degeneration With Macular Corneal Dystrophy, Congenital Cataracts, and Myopia,Orphanet:2572 ! Spastic ataxia - corneal dystrophy
GARD:0003806 ! Mucolipidosis III alpha/beta	ORPHANET:577	DOID:0080071 ! pseudo-Hurler polydystrophy,OMIM:252600 ! Mucolipidosis 3 Alpha/Beta
GARD:0003806 ! Mucolipidosis III alpha/beta	UMLS:C0033788	DOID:0080071 ! pseudo-Hurler polydystrophy,OMIM:252600 ! Mucolipidosis 3 Alpha/Beta
GARD:0003807 ! Mucopolysaccharidosis type III	ORPHANET:581	DOID:12801 ! mucopolysaccharidosis III,MESH:D009084 ! Mucopolysaccharidosis III
GARD:0003807 ! Mucopolysaccharidosis type III	UMLS:C0026706	DOID:12801 ! mucopolysaccharidosis III,MESH:D009084 ! Mucopolysaccharidosis III
GARD:0003812 ! Muller Barth Menger syndrome	UMLS:C1859259	OMIM:213820 ! Cerebral Malformation, Seizures, Hypertrichosis, and Overlapping Fingers
GARD:0003818 ! Multicentric osteolysis nephropathy	ORPHANET:2774	Orphanet:2774 ! Multicentric carpo-tarsal osteolysis with or without nephropathy
GARD:0003829 ! Multiple endocrine neoplasia type 1	ORPHANET:652	OMIM:131100 ! multiple endocrine neoplasia type 1
GARD:0003830 ! Multiple endocrine neoplasia type 2	OMIM:213799	Orphanet:653 ! Multiple endocrine neoplasia type 2
GARD:0003830 ! Multiple endocrine neoplasia type 2	ORPHANET:653	Orphanet:653 ! Multiple endocrine neoplasia type 2
GARD:0003830 ! Multiple endocrine neoplasia type 2	UMLS:C0025268	Orphanet:653 ! Multiple endocrine neoplasia type 2
GARD:0003831 ! Multiple fibrofolliculoma familial	ORPHANET:338	Orphanet:338 ! Familial multiple fibrofolliculoma
GARD:0003834 ! Multiple pterygium syndrome lethal type	ORPHANET:33108	OMIM:253290 ! Lethal multiple pterygium syndrome
GARD:0003836 ! Multiple synostoses syndrome 1	ORPHANET:3237	OMIM:186500 ! Multiple Synostoses Syndrome 1
GARD:0003836 ! Multiple synostoses syndrome 1	UMLS:C0342282	OMIM:186500 ! Multiple Synostoses Syndrome 1
GARD:0003843 ! Congenital muscular dystrophy type 1A	ORPHANET:258	Orphanet:258 ! Congenital muscular dystrophy type 1A
GARD:0003844 ! Limb-girdle muscular dystrophy type 2H	ORPHANET:1878	OMIM:254110 ! Muscular Dystrophy, Limb-Girdle, Type 2H
GARD:0003844 ! Limb-girdle muscular dystrophy type 2H	UMLS:C0270968	OMIM:254110 ! Muscular Dystrophy, Limb-Girdle, Type 2H
GARD:0003851 ! Limb-girdle muscular dystrophy type 2E	ORPHANET:119	OMIA:001620 ! Muscular dystrophy, limb-girdle, type 2E,OMIM:604286 ! Muscular Dystrophy, Limb-Girdle, Type 2E
GARD:0003851 ! Limb-girdle muscular dystrophy type 2E	UMLS:C1858593	OMIA:001620 ! Muscular dystrophy, limb-girdle, type 2E,OMIM:604286 ! Muscular Dystrophy, Limb-Girdle, Type 2E
GARD:0003854 ! Muscular dystrophy white matter spongiosis	ORPHANET:1877	Orphanet:1877 ! Muscular dystrophy - white matter spongiosis
GARD:0003854 ! Muscular dystrophy white matter spongiosis	UMLS:C1306862	Orphanet:1877 ! Muscular dystrophy - white matter spongiosis
GARD:0003855 ! Muscular dystrophy, congenital, merosin-positive	UMLS:C1836133	OMIM:609456 ! Muscular Dystrophy, Congenital, Merosin-Positive
GARD:0003856 ! Becker nevus syndrome	ORPHANET:64755	OMIM:604919 ! Becker nevus syndrome
GARD:0003856 ! Becker nevus syndrome	UMLS:C1858042	OMIM:604919 ! Becker nevus syndrome
GARD:0003858 ! Muscular phosphorylase kinase deficiency	ORPHANET:715	DOID:0050594 ! glycogen storage disease IX,OMIM:300559 ! Glycogen Storage Disease, Type Ixd,Orphanet:715 ! Glycogen storage disease due to muscle phosphorylase kinase deficiency
GARD:0003862 ! Mycetoma	ORPHANET:2583	DOID:13078 ! eumycotic mycetoma,MESH:D008271 ! Mycetoma,Orphanet:2583 ! Mycetoma
GARD:0003863 ! Mycosis fungoides	UMLS:C0026948	OMIA:001109 ! Mycosis fungoides,OMIM:254400 ! mycosis fungoides
GARD:0003865 ! Myelocerebellar disorder	ORPHANET:2585	OMIM:159550 ! Ataxia - pancytopenia
GARD:0003865 ! Myelocerebellar disorder	UMLS:C1327919	OMIM:159550 ! Ataxia - pancytopenia
GARD:0003867 ! Myeloid splenomegaly	UMLS:C2931108	MESH:C536094 ! Myeloid splenomegaly
GARD:0003872 ! Myoclonus ataxia	ORPHANET:3020	OMIM:159700 ! Ramsay-Hunt syndrome
GARD:0003872 ! Myoclonus ataxia	UMLS:C1834580	OMIM:159700 ! Ramsay-Hunt syndrome
GARD:0003873 ! Myoclonus cerebellar ataxia deafness	ORPHANET:2589	OMIM:159800 ! Myoclonus - cerebellar ataxia - deafness
GARD:0003873 ! Myoclonus cerebellar ataxia deafness	UMLS:C1834579	OMIM:159800 ! Myoclonus - cerebellar ataxia - deafness
GARD:0003875 ! Myoclonus hereditary progressive distal muscular atrophy	ORPHANET:2590	OMIM:159950 ! Hereditary myoclonus - progressive distal muscular atrophy
GARD:0003876 ! Unverricht-Lundborg disease	ORPHANET:308	DOID:3535 ! Unverricht-Lundborg syndrome,OMIM:254800 ! Myoclonic Epilepsy of Unverricht and Lundborg
GARD:0003876 ! Unverricht-Lundborg disease	UMLS:C0751785	DOID:3535 ! Unverricht-Lundborg syndrome,OMIM:254800 ! Myoclonic Epilepsy of Unverricht and Lundborg
GARD:0003879 ! Myoglobinuria recurrent	ORPHANET:99845	OMIM:550500 ! Myoglobinuria, Recurrent,Orphanet:99845 ! Genetic recurrent myoglobinuria
GARD:0003879 ! Myoglobinuria recurrent	UMLS:C1838877	OMIM:550500 ! Myoglobinuria, Recurrent,Orphanet:99845 ! Genetic recurrent myoglobinuria
GARD:0003881 ! Mitochondrial myopathy with diabetes	ORPHANET:2596	OMIM:500002 ! Mitochondrial Myopathy With Diabetes
GARD:0003883 ! Myopathy congenital multicore with external ophthalmoplegia	ORPHANET:98905	Orphanet:98905 ! Congenital multicore myopathy with external ophthalmoplegia
GARD:0003884 ! Tubular aggregate myopathy	ORPHANET:2593	DC:0000667 ! Myopathy, Tubular Aggregate,OMIM:160565 ! Myopathy, Tubular Aggregate, 1
GARD:0003884 ! Tubular aggregate myopathy	UMLS:C0410207	DC:0000667 ! Myopathy, Tubular Aggregate,OMIM:160565 ! Myopathy, Tubular Aggregate, 1
GARD:0003885 ! Sideroblastic anemia and mitochondrial myopathy	ORPHANET:2598	OMIM:600462 ! Myopathy, Lactic Acidosis, and Sideroblastic Anemia 1,Orphanet:2598 ! Mitochondrial myopathy and sideroblastic anemia
GARD:0003889 ! Congenital nonprogressive myopathy with Moebius and Robin sequences	ORPHANET:1358	OMIM:254940 ! Carey-Fineman-Ziter  syndrome
GARD:0003889 ! Congenital nonprogressive myopathy with Moebius and Robin sequences	UMLS:C1850746	OMIM:254940 ! Carey-Fineman-Ziter  syndrome
GARD:0003892 ! X-linked myopathy with excessive autophagy	ORPHANET:25980	OMIM:310440 ! X-linked myopathy with excessive autophagy
GARD:0003892 ! X-linked myopathy with excessive autophagy	UMLS:C1839615	OMIM:310440 ! X-linked myopathy with excessive autophagy
GARD:0003896 ! Inclusion body myositis	ORPHANET:611	DOID:3429 ! inclusion body myositis,OMIM:147421 ! Inclusion Body Myositis
GARD:0003900 ! Myxoma-spotty pigmentation-endocrine overactivity	ORPHANET:1359	OMIM:160980 ! Carney Complex, Type 1
GARD:0003902 ! N syndrome	ORPHANET:2608	OMIM:310465 ! N syndrome
GARD:0003902 ! N syndrome	UMLS:C2936859	OMIM:310465 ! N syndrome
GARD:0003904 ! Nijmegen breakage syndrome	ORPHANET:647	OMIM:251260 ! Nijmegen breakage syndrome
GARD:0003908 ! Mitochondrial complex I deficiency	ORPHANET:2609	OMIM:252010 ! Mitochondrial Complex 1 Deficiency,Orphanet:2609 ! Isolated NADH-CoQ reductase deficiency
GARD:0003909 ! NADH cytochrome B5 reductase deficiency	UMLS:C0268193	OMIM:250800 ! Methemoglobinemia Due to Deficiency of Methemoglobin Reductase
GARD:0003912 ! Naegeli syndrome	ORPHANET:69087	OMIM:161000 ! Naegeli-Franceschetti-Jadassohn syndrome
GARD:0003912 ! Naegeli syndrome	UMLS:C0343111	OMIM:161000 ! Naegeli-Franceschetti-Jadassohn syndrome
GARD:0003916 ! Nakajo Nishimura syndrome	ORPHANET:2615	OMIM:256040 ! JMP syndrome,Orphanet:2615 ! Nakajo-Nishimura syndrome
GARD:0003917 ! Nakajo syndrome	OMIM:256040 ! JMP syndrome	MESH:C538334 ! Nakajo syndrome
GARD:0003917 ! Nakajo syndrome	ORPHANET:1953	MESH:C538334 ! Nakajo syndrome
GARD:0003917 ! Nakajo syndrome	UMLS:C1850568	MESH:C538334 ! Nakajo syndrome
GARD:0003921 ! Isolated growth hormone deficiency type 3	ORPHANET:231692	OMIM:307200 ! Isolated Growth Hormone Deficiency, Type 3
GARD:0003924 ! Growth hormone insensitivity with immunodeficiency	ORPHANET:181393	OMIM:245590 ! Growth Hormone Insensitivity With Immunodeficiency
GARD:0003924 ! Growth hormone insensitivity with immunodeficiency	UMLS:C1855548	OMIM:245590 ! Growth Hormone Insensitivity With Immunodeficiency
GARD:0003927 ! Nasopalpebral lipoma coloboma syndrome	UMLS:C1868660	OMIM:167730 ! Palpebral Coloboma-Lipoma Syndrome
GARD:0003929 ! Nathalie syndrome	ORPHANET:2663	OMIM:255990 ! Nathalie syndrome
GARD:0003931 ! Negative rheumatoid factor polyarthritis	OMIM:109100 ! Autoimmune Disease	MESH:C538347 ! Negative rheumatoid factor polyarthritis
GARD:0003931 ! Negative rheumatoid factor polyarthritis	UMLS:C2931825	MESH:C538347 ! Negative rheumatoid factor polyarthritis
GARD:0003934 ! Neonatal ovarian cyst	UMLS:C2931186	MESH:C536396 ! Neonatal ovarian cyst
GARD:0003936 ! Renal hamartomas nephroblastomatosis and fetal gigantism	ORPHANET:2849	OMIM:267000 ! Perlman syndrome
GARD:0003936 ! Renal hamartomas nephroblastomatosis and fetal gigantism	UMLS:C0796113	OMIM:267000 ! Perlman syndrome
GARD:0003940 ! Nephropathy, deafness, and hyperparathyroidism	ORPHANET:2668	OMIM:256120 ! Nephropathy-deafness-hyperparathyroidism syndrome
GARD:0003945 ! Nephrotic syndrome ocular anomalies	OMIM:609049 ! Pierson syndrome	MESH:C536403 ! Nephrotic syndrome ocular anomalies
GARD:0003945 ! Nephrotic syndrome ocular anomalies	UMLS:C2931188	MESH:C536403 ! Nephrotic syndrome ocular anomalies
GARD:0003946 ! Nephrotic syndrome, idiopathic, steroid-resistant	ORPHANET:656	OMIM:600995 ! Nephrotic Syndrome, Type 2,Orphanet:656 ! Familial idiopathic steroid-resistant nephrotic syndrome
GARD:0003946 ! Nephrotic syndrome, idiopathic, steroid-resistant	UMLS:C1868672	OMIM:600995 ! Nephrotic Syndrome, Type 2,Orphanet:656 ! Familial idiopathic steroid-resistant nephrotic syndrome
GARD:0003947 ! Familial hyperinsulinism	OMIM:256450 ! Hyperinsulinemic Hypoglycemia, Familial, 1	DOID:2018 ! hyperinsulinism,OMIM:601820 ! Hyperinsulinemic Hypoglycemia, Familial, 2,Orphanet:657 ! Congenital isolated hyperinsulinism
GARD:0003947 ! Familial hyperinsulinism	ORPHANET:657	DOID:2018 ! hyperinsulinism,OMIM:601820 ! Hyperinsulinemic Hypoglycemia, Familial, 2,Orphanet:657 ! Congenital isolated hyperinsulinism
GARD:0003948 ! Neuhauser Daly Magnelli syndrome	UMLS:C1860860	MESH:C536406 ! Neuhauser Daly Magnelli syndrome,OMIM:190310 ! Tremor - nystagmus - duodenal ulcer
GARD:0003950 ! Neural crest tumor	UMLS:C2931189	MESH:C536408 ! Neural crest tumor
GARD:0003953 ! Galactosialidosis	ORPHANET:351	OMIA:000400 ! Galactosialidosis,OMIM:256540 ! Galactosialidosis
GARD:0003955 ! Hereditary neuralgic amyotrophy	ORPHANET:178498	OMIM:162100 ! Amyotrophy, Hereditary Neuralgic
GARD:0003955 ! Hereditary neuralgic amyotrophy	UMLS:C1834304	OMIM:162100 ! Amyotrophy, Hereditary Neuralgic
GARD:0003956 ! Chorea-acanthocytosis	ORPHANET:2388	DOID:0050766 ! chorea-acanthocytosis,OMIM:200150 ! Choreoacanthocytosis
GARD:0003957 ! Neuroaxonal dystrophy, infantile	ORPHANET:35069	OMIM:256600 ! Neurodegeneration With Brain Iron Accumulation 2A,Orphanet:35069 ! Infantile neuroaxonal dystrophy
GARD:0003957 ! Neuroaxonal dystrophy, infantile	UMLS:C0270724	OMIM:256600 ! Neurodegeneration With Brain Iron Accumulation 2A,Orphanet:35069 ! Infantile neuroaxonal dystrophy
GARD:0003964 ! Neurofaciodigitorenal syndrome	ORPHANET:2673	OMIM:256690 ! Neurofaciodigitorenal syndrome
GARD:0003967 ! Autosomal dominant cafC) au lait spots	ORPHANET:2678	Orphanet:2678 ! Neurofibromatosis type 6
GARD:0003971 ! Neuronal intranuclear inclusion disease	ORPHANET:2289	OMIM:603472 ! Neuronal intranuclear inclusion disease
GARD:0003972 ! MPV17-related hepatocerebral mitochondrial DNA depletion syndrome	ORPHANET:255229	OMIM:256810 ! Navajo neurohepatopathy
GARD:0003973 ! Charcot-Marie-Tooth disease type 4D	ORPHANET:99950	OMIM:601455 ! Charcot-Marie-Tooth disease type 4D
GARD:0003976 ! Hereditary sensory and autonomic neuropathy type 2	ORPHANET:970	OMIM:201300 ! Neuropathy, Hereditary Sensory and Autonomic, Type 2A,Orphanet:970 ! Hereditary sensory and autonomic neuropathy type 2
GARD:0003979 ! Chanarin-Dorfman syndrome	ORPHANET:98907	DOID:0050729 ! neutral lipid storage disease,OMIM:275630 ! Chanarin-Dorfman Syndrome
GARD:0003979 ! Chanarin-Dorfman syndrome	UMLS:C0268238	DOID:0050729 ! neutral lipid storage disease,OMIM:275630 ! Chanarin-Dorfman Syndrome
GARD:0003981 ! Severe congenital neutropenia X-linked	ORPHANET:86788	OMIM:300299 ! X-linked severe congenital neutropenia
GARD:0003981 ! Severe congenital neutropenia X-linked	UMLS:C1845987	OMIM:300299 ! X-linked severe congenital neutropenia
GARD:0003986 ! Nevi flammei, familial multiple	UMLS:C2931029	OMIM:163000 ! Familial multiple nevi flammei
GARD:0003992 ! Niemann-Pick disease type C2	UMLS:C1843366	OMIM:607625 ! Niemann-Pick Disease, Type C2
GARD:0003994 ! Night blindness skeletal anomalies unusual facies	UMLS:C2931114	MESH:C536121 ! Night blindness skeletal anomalies unusual facies
GARD:0003995 ! X-linked congenital stationary night blindness	ORPHANET:215	DOID:0050534 ! congenital stationary night blindness,OMIM:310500 ! Night Blindness, Congenital Stationary, Type 1A
GARD:0003995 ! X-linked congenital stationary night blindness	UMLS:C0339535	DOID:0050534 ! congenital stationary night blindness,OMIM:310500 ! Night Blindness, Congenital Stationary, Type 1A
GARD:0003999 ! Noble Bass Sherman syndrome	UMLS:C2931115	Orphanet:1884 ! Ectopia lentis - chorioretinal dystrophy - myopia
GARD:0004002 ! Non functioning pancreatic endocrine tumor	UMLS:C1334977	DOID:7698 ! non-functioning pancreatic endocrine tumor
GARD:0004003 ! Maternally inherited diabetes and deafness	ORPHANET:225	OMIM:520000 ! Maternally-inherited diabetes and deafness
GARD:0004009 ! Normokalemic periodic paralysis	ORPHANET:680	OMIM:170600 ! Normokalemic Periodic Paralysis
GARD:0004009 ! Normokalemic periodic paralysis	UMLS:C0268445	OMIM:170600 ! Normokalemic Periodic Paralysis
GARD:0004010 ! Northern epilepsy	OMIM:600143 ! CLN8 disease	OMIM:610003 ! Ceroid Lipofuscinosis, Neuronal, 8, Northern Epilepsy Variant,Orphanet:1947 ! Progressive epilepsy - intellectual disability, Finnish type
GARD:0004010 ! Northern epilepsy	ORPHANET:1947	OMIM:610003 ! Ceroid Lipofuscinosis, Neuronal, 8, Northern Epilepsy Variant,Orphanet:1947 ! Progressive epilepsy - intellectual disability, Finnish type
GARD:0004011 ! Norum disease	UMLS:C0023195	OMIM:245900 ! Norum disease
GARD:0004015 ! Novak syndrome	ORPHANET:2005	MESH:C537851 ! Novak syndrome,OMIM:215800 ! Cleft Larynx, Posterior
GARD:0004015 ! Novak syndrome	UMLS:C1859083	MESH:C537851 ! Novak syndrome,OMIM:215800 ! Cleft Larynx, Posterior
GARD:0004017 ! Occipital horn syndrome	ORPHANET:198	MESH:C537860 ! Occipital horn syndrome,OMIM:185000 ! Overhydrated hereditary stomatocytosis,OMIM:304150 ! Occipital horn syndrome
GARD:0004018 ! Tethered cord syndrome	ORPHANET:268861	DOID:1089 ! tethered spinal cord syndrome,Orphanet:268861 ! Primary tethered chord syndrome
GARD:0004018 ! Tethered cord syndrome	SNOMED_CT:70534000	DOID:1089 ! tethered spinal cord syndrome,Orphanet:268861 ! Primary tethered chord syndrome
GARD:0004018 ! Tethered cord syndrome	UMLS:C0080218	DOID:1089 ! tethered spinal cord syndrome,Orphanet:268861 ! Primary tethered chord syndrome
GARD:0004021 ! Oculo-cerebral dysplasia	ORPHANET:2705	MESH:C537670 ! Behrens Baumann Dust syndrome
GARD:0004021 ! Oculo-cerebral dysplasia	UMLS:C2931582	MESH:C537670 ! Behrens Baumann Dust syndrome
GARD:0004025 ! Oculo digital syndrome	ORPHANET:2711	MESH:C535922 ! Chemke Oliver Mallek syndrome
GARD:0004028 ! Oculo skeletal renal syndrome	ORPHANET:2716	Orphanet:2716 ! Oculo-skeletal-renal syndrome
GARD:0004031 ! Oculoauriculofrontonasal syndrome	ORPHANET:398156	OMIM:601452 ! Oculoauriculofrontonasal syndrome
GARD:0004031 ! Oculoauriculofrontonasal syndrome	UMLS:C1832352	OMIM:601452 ! Oculoauriculofrontonasal syndrome
GARD:0004034 ! Oculocerebral hypopigmentation syndrome type Preus	UMLS:C2931646	OMIM:257790 ! Oculocerebral Hypopigmentation Syndrome of Preus
GARD:0004037 ! Oculocutaneous albinism type 1	ORPHANET:352731	OMIM:203100 ! Oculocutaneous albinism type 1A,Orphanet:352731 ! Oculocutaneous albinism type 1
GARD:0004038 ! Oculocutaneous albinism type 2	ORPHANET:79432	OMIM:203200 ! Oculocutaneous albinism type 2
GARD:0004039 ! Oculocutaneous albinism type 3	ORPHANET:79433	OMIM:203290 ! Oculocutaneous albinism type 3
GARD:0004045 ! Oculodentoosseous dysplasia recessive	OMIM:257850 ! Oculodentodigital Dysplasia, Autosomal Recessive	MESH:C537733 ! Oculodentoosseous dysplasia recessive
GARD:0004045 ! Oculodentoosseous dysplasia recessive	UMLS:C2931600	MESH:C537733 ! Oculodentoosseous dysplasia recessive
GARD:0004046 ! Oculomaxillofacial dysostosis	ORPHANET:1794	MESH:C537736 ! Oculomaxillofacial dysostosis,OMIM:600251 ! Facial Clefting, Oblique, 1,Orphanet:1794 ! Oculomaxillofacial dysostosis
GARD:0004047 ! Distal arthrogryposis type 5	ORPHANET:1154	OMIM:108145 ! Arthrogryposis, Distal, Type 5
GARD:0004047 ! Distal arthrogryposis type 5	UMLS:C1862472	OMIM:108145 ! Arthrogryposis, Distal, Type 5
GARD:0004050 ! Oculorenocerebellar syndrome	UMLS:C1850331	OMIM:257970 ! Oculorenocerebellar Syndrome
GARD:0004051 ! Odonto onycho dysplasia with alopecia	ORPHANET:2722	Orphanet:2722 ! Odonto-onycho dysplasia - alopecia
GARD:0004053 ! Odontomicronychial dysplasia	ORPHANET:1811	OMIM:601319 ! Odontomicronychial dysplasia
GARD:0004054 ! Odontoonychodermal dysplasia	ORPHANET:2721	OMIM:257980 ! Odonto-onycho-dermal dysplasia
GARD:0004054 ! Odontoonychodermal dysplasia	UMLS:C0796093	OMIM:257980 ! Odonto-onycho-dermal dysplasia
GARD:0004060 ! Orofaciodigital syndrome 8	ORPHANET:2755	OMIM:300484 ! orofaciodigital syndrome VIII
GARD:0004061 ! Orofaciodigital syndrome 10	ORPHANET:2756	OMIM:165590 ! orofaciodigital syndrome X
GARD:0004061 ! Orofaciodigital syndrome 10	UMLS:C1833796	OMIM:165590 ! orofaciodigital syndrome X
GARD:0004062 ! Infantile onset spinocerebellar ataxia	ORPHANET:1186	OMIM:271245 ! infantile onset spinocerebellar ataxia
GARD:0004062 ! Infantile onset spinocerebellar ataxia	UMLS:C1849096	OMIM:271245 ! infantile onset spinocerebellar ataxia
GARD:0004064 ! Okamoto syndrome	ORPHANET:2729	OMIM:604916 ! Okamoto syndrome
GARD:0004065 ! Oligodactyly tetramelic postaxial	UMLS:C1867924	OMIM:176240 ! Postaxial tetramelic oligodactyly
GARD:0004066 ! Oligomeganephronic renal hypoplasia	ORPHANET:2260	Orphanet:2260 ! Oligomeganephronia
GARD:0004069 ! Oliver syndrome	ORPHANET:2920	OMIM:258200 ! Oliver syndrome
GARD:0004069 ! Oliver syndrome	UMLS:C1850320	OMIM:258200 ! Oliver syndrome
GARD:0004070 ! Olivopontocerebellar atrophy deafness	ORPHANET:2732	Orphanet:2732 ! Olivopontocerebellar atrophy - deafness
GARD:0004071 ! Spinocerebellar ataxia 1	ORPHANET:98755	OMIM:164400 ! spinocerebellar ataxia type 1
GARD:0004072 ! Spinocerebellar ataxia 2	ORPHANET:98756	DOID:0050955 ! spinocerebellar ataxia type 2,OMIM:183090 ! Spinocerebellar Ataxia 2,OMIM:271322 ! Spinocerebellar Degeneration With Slow Eye Movements
GARD:0004075 ! Olmsted syndrome	ORPHANET:659	OMIM:614594 ! Palmoplantar Keratoderma, Mutilating, With Periorificial Keratotic Plaques
