GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0009618 ! Abrikosov's tumor	MESH:C535558 ! Abrikosov's tumor
GARD:0009619 ! Actinic cheilitis	MESH:C535669 ! Actinic cheilitis
GARD:0009636 ! Adenosarcoma of the uterus	MESH:C538232 ! Adenosarcoma of the uterus
GARD:0009637 ! Spastic diplegia cerebral palsy	MESH:C537945 ! Cerebral palsy, spastic, diplegic
GARD:0009648 ! Medial Medullary Syndrome	MESH:C536134 ! Medial Medullary Syndrome
GARD:0009653 ! Anterior spinal artery stroke	MESH:C537776 ! Anterior spinal artery stroke
GARD:0009655 ! Hyperacusis	MESH:D012001 ! Hyperacusis
GARD:0009656 ! Pectus carinatum	MESH:D066166 ! Pectus Carinatum
GARD:0009660 ! Amaurosis fugax	MESH:D020757 ! Amaurosis Fugax
GARD:0009663 ! Buschke Lowenstein tumor	MESH:D062688 ! Buschke-Lowenstein Tumor
GARD:0009664 ! Primary malignant melanoma of the cervix	MESH:C536417 ! Primary malignant melanoma of the cervix
GARD:0009667 ! HHV-6 encephalitis	MESH:C538117 ! Human Herpesvirus 6 encephalitis
GARD:0009671 ! Lipodermatosclerosis	MESH:C537026 ! Lipodermatosclerosis
GARD:0009712 ! Mycobacterium Marinum	MESH:C535526 ! Infection with Mycobacterium marinum
GARD:0009714 ! Littoral cell angioma of the spleen	MESH:C537031 ! Littoral cell angioma of the spleen
GARD:0009716 ! Aspergillus niger infection	MESH:C535390 ! Aspergillus niger infection
GARD:0009717 ! Left-sided gallbladder	MESH:C537001 ! Left-sided gallbladder
GARD:0009718 ! Fibrocartilaginous embolism	MESH:C537927 ! Fibrocartilaginous embolism
GARD:0009721 ! Herpes zoster ophthalmicus	MESH:D006563 ! Herpes Zoster Ophthalmicus
GARD:0009722 ! Congenital pseudoarthrosis	MESH:C535762 ! Congenital pseudoarthrosis
GARD:0009731 ! Bobble-head doll syndrome	MESH:C536241 ! Bobble-head doll syndrome
GARD:0009739 ! Xanthogranulomatous sialadenitis	MESH:C536763 ! Xanthogranulomatous sialadenitis
GARD:0009779 ! Aerobic actinomyces infection	MESH:C538054 ! Aerobic actinomyces infection
GARD:0009805 ! Morgellons	MESH:D055535 ! Morgellons Disease
GARD:0009824 ! Multifocal choroiditis	MESH:C537374 ! Multifocal choroiditis
GARD:0009852 ! Nondystrophic myotonia	MESH:C536245 ! Nondystrophic myotonia
GARD:0009891 ! Manz syndrome	MESH:C535709 ! Manz syndrome
GARD:0009908 ! Cryofibrinogenemia	MESH:C536218 ! Cryofibrinogenemia
GARD:0009972 ! Congenital absence of the sternocleidomastoid muscle	MESH:C535977 ! Congenital absence of the sternocleidomastoid muscle
GARD:0010008 ! Colpocephaly	MESH:C535973 ! Colpocephaly
GARD:0010026 ! Piriformis syndrome	MESH:C531783 ! Hip socket neuropathy
GARD:0010030 ! Hemorrhagic shock and encephalopathy syndrome	MESH:C537254 ! Hemorrhagic shock and encephalopathy syndrome
GARD:0010074 ! Abderhalden Kaufmann Lignac syndrome	MESH:C535335 ! Abderhalden-Kaufmann-Lignac syndrome
GARD:0010085 ! Klebsiella infection	MESH:D007710 ! Klebsiella Infections
GARD:0010125 ! Agnathia-microstomia-synotia	MESH:C538059 ! Agnathia-microstomia-synotia
GARD:0010150 ! Idiopathic subglottic tracheal stenosis	MESH:C536283 ! Idiopathic subglottic tracheal stenosis
GARD:0010155 ! Fetal macrosomia	MESH:D005320 ! Fetal Macrosomia
GARD:0010164 ! Plagiocephaly	MESH:D059041 ! Plagiocephaly
GARD:0010166 ! Cerebrospinal fluid leak	MESH:D065634 ! Cerebrospinal Fluid Leak
GARD:0010176 ! Mastocytic enterocolitis	MESH:C536032 ! Mastocytic enterocolitis
GARD:0010177 ! Mirizzi syndrome	MESH:D057792 ! Mirizzi Syndrome
GARD:0010182 ! Hereditary antithrombin deficiency type 2	MESH:C537779 ! Antithrombin deficiency type 2
GARD:0010186 ! Urachal adenocarcinoma	MESH:C536474 ! Urachal adenocarcinoma
GARD:0010265 ! Pityriasis lichenoides	MESH:D017514 ! Pityriasis Lichenoides
GARD:0010441 ! Lathyrism	MESH:D007842 ! Lathyrism
GARD:0010685 ! Chilaiditi syndrome	MESH:D059269 ! Chilaiditi Syndrome
GARD:0010690 ! Idiopathic juxtafoveal retinal telangiectasia	MESH:C548027 ! Idiopathic Juxtafoveal Retinal Telangiectasia
GARD:0010702 ! Gestational diabetes insipidus	MESH:C548014 ! Gestational Diabetes Insipidus
GARD:0010703 ! Dipsogenic diabetes insipidus	MESH:C548013 ! Dipsogenic Diabetes Insipidus
GARD:0010712 ! Progressive transformation of germinal centers	MESH:C548085 ! Progressive Transformation of Germinal Centers
GARD:0010715 ! Diploid-triploid mosaicism	MESH:C548012 ! Diploid-Triploid Mosaicism
GARD:0010747 ! Lupus nephritis	MESH:D008181 ! Lupus Nephritis
GARD:0010912 ! Fournier gangrene	MESH:D018934 ! Fournier Gangrene
GARD:0010963 ! Pyogenic granuloma	MESH:D017789 ! Granuloma, Pyogenic
GARD:0011896 ! PDGFRB-associated chronic eosinophilic leukemia	MESH:C580365 ! Pdgfrb-Associated Chronic Eosinophilic Leukemia
GARD:0011937 ! Emphysema	MESH:D004646 ! Emphysema
GARD:0011989 ! Pythiosis	MESH:D058968 ! Pythiosis
GARD:0012022 ! Hamartoma	MESH:D006222 ! Hamartoma
GARD:0012070 ! Chromosome 8 deletion	MESH:C537823 ! Chromosome 8 deletion
GARD:0012133 ! Nodding syndrome	MESH:D064128 ! Nodding Syndrome
GARD:0012141 ! May-Thurner syndrome	MESH:D062108 ! May-Thurner Syndrome
