ORDR ID:			Disease Name:	Synonym(s):	OMIM Num(s):	Orphanet Num(s):	URL:
632			Alzheimer disease familial	FAD;Familial Alzheimer disease;Medullar disease	104300		http://rarediseases.info.nih.gov/gard/632/Alzheimer-disease-familial/resources/1
634			Leber congenital amaurosis	Amaurosis congenita of Leber;Congenital absence of the rods and cones;Congenital retinal blindness;LCA;Leber's amaurosis;Leber's congenital tapetoretinal degeneration;Leber's congenital tapetoretinal dysplasia		65	http://rarediseases.info.nih.gov/gard/634/Leber-congenital-amaurosis/resources/1
635			Leber congenital amaurosis 1	"Amaurosis congenita of Leber, type 1;CRB;LCA1;Leber congenital amaurosis type 1;Retinal blindness, congenital"	204000		http://rarediseases.info.nih.gov/gard/635/Leber-congenital-amaurosis-1/resources/1
636			Leber congenital amaurosis 2	"Amaurosis congenita of Leber, type 2;LCA2;Leber congenital amaurosis type 2"	204100		http://rarediseases.info.nih.gov/gard/636/Leber-congenital-amaurosis-2/resources/1
637			Amaurosis congenita cone-rod type with congenital hypertrichosis		204110		http://rarediseases.info.nih.gov/gard/637/Amaurosis-congenita-cone-rod-type-with-congenital-hypertrichosis/resources/1
640			Congenital amegakaryocytic thrombocytopenia	CAMT;Congenital amegakaryocytic thrombocytopenic purpura;Thrombocytopenia congenital amegakaryocytic	604498	3319	http://rarediseases.info.nih.gov/gard/640/Congenital-amegakaryocytic-thrombocytopenia/resources/1
641			Amelia cleft lip palate hydrocephalus iris coloboma				http://rarediseases.info.nih.gov/gard/641/Amelia-cleft-lip-palate-hydrocephalus-iris-coloboma/resources/1
645			Amelogenesis imperfecta local hypoplastic	Local hypoplastic amelogenesis imperfecta	104530		http://rarediseases.info.nih.gov/gard/645/Amelogenesis-imperfecta-local-hypoplastic/resources/1
646			Amelogenesis imperfecta nephrocalcinosis	"Absent enamel, nephrocalcinosis and apparently normal calcium metabolism;Amelogenesis imperfecta-nephrocalcinosis syndrome;Enamel renal syndrome;ERS;Generalized enamel hypoplasia and renal dysfunction"	204690	1031	http://rarediseases.info.nih.gov/gard/646/Amelogenesis-imperfecta-nephrocalcinosis/resources/1
647			Ameloonychohypohidrotic syndrome	"Amelo-onycho-hypohidrotic syndrome;Hypocalcified-hypoplastic enamel, onycholysis with subungual hyperkeratosis, and hypohidrosis"	104570	1028	http://rarediseases.info.nih.gov/gard/647/Ameloonychohypohidrotic-syndrome/resources/1
652			Amebiasis	Amebic dysentery;Amoebiasis due to Entamoeba histolytica;Amoebic dysentery due to Entamoeba histolytica;Intestinal amebiasis			http://rarediseases.info.nih.gov/gard/652/Amebiasis/resources/1
654			Ampola syndrome	Mental retardation unusual facies Ampola type			http://rarediseases.info.nih.gov/gard/654/Ampola-syndrome/resources/1
656			Familial transthyretin amyloidosis	"Amyloidosis Transthyretin related;Amyloidosis, hereditary, transthyretin-related;Familial amyloid polyneuropathy;Transthyretin amyloid neuropathy;Transthyretin amyloid polyneuropathy;Transthyretin amyloidosis;TTR amyloid neuropathy"	105210		http://rarediseases.info.nih.gov/gard/656/Familial-transthyretin-amyloidosis/resources/1
657			"Amyloidosis of gingiva and conjunctiva, with mental retardation"	Amyloidosis of gingiva and conjunctiva with mental retardation;Hornova Dlushosova syndrome	204850		"http://rarediseases.info.nih.gov/gard/657/Amyloidosis-of-gingiva-and-conjunctiva,-with-mental-retardation/resources/1"
660			Amyoplasia mandibulofacial dysostosis				http://rarediseases.info.nih.gov/gard/660/Amyoplasia-mandibulofacial-dysostosis/resources/1
664			"Thyroid cancer, anaplastic"	"Anaplastic thyroid cancer;Anaplastic thyroid carcinoma;Thyroid carcinoma, anaplastic"			"http://rarediseases.info.nih.gov/gard/664/Thyroid-cancer,-anaplastic/resources/1"
667			Sideroblastic anemia	Anemia sideroblastic		1047	http://rarediseases.info.nih.gov/gard/667/Sideroblastic-anemia/resources/1
668			Anemia sideroblastic and spinocerebellar ataxia	ASAT;Pagon Bird Detter syndrome;Sideroblastic anemia with spinocerebellar ataxia	301310		http://rarediseases.info.nih.gov/gard/668/Anemia-sideroblastic-and-spinocerebellar-ataxia/resources/1
669			Anencephaly and spina bifida X-linked	X-linked anencephaly/spina bifida	301410		http://rarediseases.info.nih.gov/gard/669/Anencephaly-and-spina-bifida-X-linked/resources/1
670			Aneurysm of sinus of Valsalva	Sinus of Valsalva aneurysm;SVA		1054	http://rarediseases.info.nih.gov/gard/670/Aneurysm-of-sinus-of-Valsalva/resources/1
671			Angel shaped phalangoepiphyseal dysplasia	Angel-shaped phalango-epiphyseal dysplasia;ASPED	105835	63442	http://rarediseases.info.nih.gov/gard/671/Angel-shaped-phalangoepiphyseal-dysplasia/resources/1
673			Angiofollicular lymph hyperplasia	ALNH;Angiofollicular lymph node hyperplasia			http://rarediseases.info.nih.gov/gard/673/Angiofollicular-lymph-hyperplasia/resources/1
674			Angiokeratoma mental retardation coarse face				http://rarediseases.info.nih.gov/gard/674/Angiokeratoma-mental-retardation-coarse-face/resources/1
676			Angioma hereditary neurocutaneous	Hereditary neurocutaneous Angioma	106070	1062	http://rarediseases.info.nih.gov/gard/676/Angioma-hereditary-neurocutaneous/resources/1
679			"Angiomatosis, leptomeningeal capillary venous"	Capillary venous leptomeningeal angiomatosis;Leptomeningeal capillary - venous angiomatosis			"http://rarediseases.info.nih.gov/gard/679/Angiomatosis,-leptomeningeal-capillary-venous/resources/1"
683			Angiostrongyliasis				http://rarediseases.info.nih.gov/gard/683/Angiostrongyliasis/resources/1
685			Aniridia absent patella	Aniridia-absent patella syndrome;Familial syndrome of aniridia and absence of the patella	106220	1069	http://rarediseases.info.nih.gov/gard/685/Aniridia-absent-patella/resources/1
686			Aniridia ataxia renal agenesis psychomotor retardation				http://rarediseases.info.nih.gov/gard/686/Aniridia-ataxia-renal-agenesis-psychomotor-retardation/resources/1
688			Aniridia mental retardation syndrome				http://rarediseases.info.nih.gov/gard/688/Aniridia-mental-retardation-syndrome/resources/1
689			Aniridia ptosis mental retardation obesity familial				http://rarediseases.info.nih.gov/gard/689/Aniridia-ptosis-mental-retardation-obesity-familial/resources/1
690			Aniridia renal agenesis psychomotor retardation	Aniridia - renal agenesis - psychomotor retardation;Aniridia partial with unilateral renal agenesis and psychomotor retardation;Sommer Rathbun Battles syndrome;Sommer-Rathbun-Battles syndrome	206750	1064	http://rarediseases.info.nih.gov/gard/690/Aniridia-renal-agenesis-psychomotor-retardation/resources/1
693			Anisakiasis	Anisakis infection;Pseudoterranova infection			http://rarediseases.info.nih.gov/gard/693/Anisakiasis/resources/1
694			Ankle defects short stature				http://rarediseases.info.nih.gov/gard/694/Ankle-defects-short-stature/resources/1
696			Ankyloblepharon filiforme adnatum cleft palate	Ankyloblepharon filiforme adnatum;Ankyloblepharon filiforme congenitum;Congenital filiform fusion of the eyelids with cleft palate and/or cleft lip	106250		http://rarediseases.info.nih.gov/gard/696/Ankyloblepharon-filiforme-adnatum-cleft-palate/resources/1
697			Ankyloblepharon filiforme imperforate anus	Ankyloblepharon filiforme - imperforate anus;Aughton-Hufnagle syndrome		1074	http://rarediseases.info.nih.gov/gard/697/Ankyloblepharon-filiforme-imperforate-anus/resources/1
701			Ankylosis of teeth	Abnormal fusion of dental cementum with alveolar bone;Dental ankylosis;Molar I reinclusion;Secondary retention of permanent molars	157950	1077	http://rarediseases.info.nih.gov/gard/701/Ankylosis-of-teeth/resources/1
704			Annular constricting bands				http://rarediseases.info.nih.gov/gard/704/Annular-constricting-bands/resources/1
705			Annular pancreas	"Pancreas, annular"	167750	675	http://rarediseases.info.nih.gov/gard/705/Annular-pancreas/resources/1
707			Anorectal atresia	Anal atresia;Anorectal malformation;Anorectal stenosis;Early-onset schizophrenia	207500		http://rarediseases.info.nih.gov/gard/707/Anorectal-atresia/resources/1
708			Anonychia ectrodactyly		106900		http://rarediseases.info.nih.gov/gard/708/Anonychia-ectrodactyly/resources/1
709			Anonychia total with microcephaly	Total anonychia congenita and microcephaly;Total anonychia with microcephaly	607214		http://rarediseases.info.nih.gov/gard/709/Anonychia-total-with-microcephaly/resources/1
710			Anonychia onychodystrophy	Absent nails and dystrophic nails;Anonychia - onychodystrophy	107000	90390	http://rarediseases.info.nih.gov/gard/710/Anonychia-onychodystrophy/resources/1
711			Anonychia-onychodystrophy with brachydactyly type B and ectrodactyly	Autosomal dominant onychodystrophy and anonychia with type B brachydactyly and ectrodactyly	106990		http://rarediseases.info.nih.gov/gard/711/Anonychia-onychodystrophy-with-brachydactyly-type-B-and-ectrodactyly/resources/1
713			Microphthalmia syndromic 9	Anophthalmia - pulmonary hypoplasia;Anophthalmia/microphthalmia and pulmonary hypoplasia;Clinical anophthalmia mild facial dysmorphism lung heart and diaphragm malformations;Matthew Wood syndrome;Matthew-Wood syndrome;MCOPS9;Pulmonary agenesis microphthalmi and diaphragmatic defect;Spear syndrome;Syndromic microphthalmia type 9	601186	2470	http://rarediseases.info.nih.gov/gard/713/Microphthalmia-syndromic-9/resources/1
714			Anophthalmia cleft lip palate hypothalamic disorder				http://rarediseases.info.nih.gov/gard/714/Anophthalmia-cleft-lip-palate-hypothalamic-disorder/resources/1
715			Anophthalmia cleft palate micrognathia				http://rarediseases.info.nih.gov/gard/715/Anophthalmia-cleft-palate-micrognathia/resources/1
716			Anophthalmia esophageal atresia cryptorchidism				http://rarediseases.info.nih.gov/gard/716/Anophthalmia-esophageal-atresia-cryptorchidism/resources/1
717			Anophthalmia megalocornea cardiopathy skeletal anomalies				http://rarediseases.info.nih.gov/gard/717/Anophthalmia-megalocornea-cardiopathy-skeletal-anomalies/resources/1
718			Anophthalmia microcephaly hypogonadism				http://rarediseases.info.nih.gov/gard/718/Anophthalmia-microcephaly-hypogonadism/resources/1
719			Anophthalmia plus syndrome	"Anophthalmia, cleft lip/palate, facial anomalies, and CNS anomalies and hypothalamic disorder;Fryns anophthalmia syndrome;Fryns microphthalmia syndrome;Leichtman Wood Rohn syndrome;Microphthalmia with facial clefting"	600776	1104	http://rarediseases.info.nih.gov/gard/719/Anophthalmia-plus-syndrome/resources/1
722			Anophthalmos with limb anomalies	Anophthalmia Waardenburg syndrome;Anophthalmia-syndactyly syndrome;Anophthalmos-syndactyly;Microphthalmia with limb anomalies;OAS;Ophthalmoacromelic syndrome;Waardenburg anophthalmia syndrome	206920	1106	http://rarediseases.info.nih.gov/gard/722/Anophthalmos-with-limb-anomalies/resources/1
725			Anotia facial palsy cardiac defect				http://rarediseases.info.nih.gov/gard/725/Anotia-facial-palsy-cardiac-defect/resources/1
728			"Anterior pituitary insufficiency, familial"				"http://rarediseases.info.nih.gov/gard/728/Anterior-pituitary-insufficiency,-familial/resources/1"
730			Anti-HLA hyperimmunization				http://rarediseases.info.nih.gov/gard/730/Anti-HLA-hyperimmunization/resources/1
731			"Anti-plasmin deficiency, congenital"	"Alpha-2-plasmin inhibitor deficiency;Antiplasmin deficiency, congenital"	262850		"http://rarediseases.info.nih.gov/gard/731/Anti-plasmin-deficiency,-congenital/resources/1"
732			Antigen-peptide-transporter 2 deficiency	TAP 2 deficiency			http://rarediseases.info.nih.gov/gard/732/Antigen-peptide-transporter-2-deficiency/resources/1
733			Antihypertensive drugs antenatal infection				http://rarediseases.info.nih.gov/gard/733/Antihypertensive-drugs-antenatal-infection/resources/1
735			Antisynthetase syndrome				http://rarediseases.info.nih.gov/gard/735/Antisynthetase-syndrome/resources/1
736			Hereditary antithrombin deficiency type I	Hereditary antithrombin deficiency type 1;Inherited antithrombin deficiency classic type;Inherited antithrombin deficiency type I			http://rarediseases.info.nih.gov/gard/736/Hereditary-antithrombin-deficiency-type-I/resources/1
738			Aorta-pulmonary artery fistula	Aorto-pulmonary artery fistula;Aortopulmonary fistula			http://rarediseases.info.nih.gov/gard/738/Aorta-pulmonary-artery-fistula/resources/1
739			Aortic arch anomaly with peculiar facies and mental retardation	"Familial syndrome of right-sided aortic arch, mental deficiency, and facial dysmorphism"	107500		http://rarediseases.info.nih.gov/gard/739/Aortic-arch-anomaly-with-peculiar-facies-and-mental-retardation/resources/1
740			Aortic arch interruption				http://rarediseases.info.nih.gov/gard/740/Aortic-arch-interruption/resources/1
741			Aortic arches defect				http://rarediseases.info.nih.gov/gard/741/Aortic-arches-defect/resources/1
742			Aortic dissection lentiginosis				http://rarediseases.info.nih.gov/gard/742/Aortic-dissection-lentiginosis/resources/1
743			Supravalvular aortic stenosis	"Aortic supravalvular stenosis;Supravalvar aortic stenosis;Supravalvar aortic stenosis, Eisenberg type;SVAS"	185500	3193	http://rarediseases.info.nih.gov/gard/743/Supravalvular-aortic-stenosis/resources/1
744			Aortic valves stenosis of the child				http://rarediseases.info.nih.gov/gard/744/Aortic-valves-stenosis-of-the-child/resources/1
745			Aortopulmonary window	Aortic-pulmonary window;Aorto-pulmonary window;Aortopulmonary septal defect			http://rarediseases.info.nih.gov/gard/745/Aortopulmonary-window/resources/1
746			Apert like polydactyly syndrome				http://rarediseases.info.nih.gov/gard/746/Apert-like-polydactyly-syndrome/resources/1
748			Aphalangia partial with syndactyly and duplication of metatarsal IV		600384		http://rarediseases.info.nih.gov/gard/748/Aphalangia-partial-with-syndactyly-and-duplication-of-metatarsal-IV/resources/1
749			Aplasia cutis autosomal recessive				http://rarediseases.info.nih.gov/gard/749/Aplasia-cutis-autosomal-recessive/resources/1
751			Aplasia cutis congenita dominant				http://rarediseases.info.nih.gov/gard/751/Aplasia-cutis-congenita-dominant/resources/1
753			Aplasia cutis congenita intestinal lymphangiectasia	ACC with intestinal lymphangiectasia;Aplasia cutis congenita - intestinal lymphangiectasia;Autosomal recessive aplasia cutis;Bronspiegel-Zelnick syndrome	207731	1116	http://rarediseases.info.nih.gov/gard/753/Aplasia-cutis-congenita-intestinal-lymphangiectasia/resources/1
754			Aplasia cutis congenita of limbs recessive	Congenital absence of skin on the upper or lower limbs;Recessive aplasia cutis congenita of limbs;Recessive aplasia cutis congenita of the limbs	600360	1115	http://rarediseases.info.nih.gov/gard/754/Aplasia-cutis-congenita-of-limbs-recessive/resources/1
755			Aplasia cutis congenita recessive				http://rarediseases.info.nih.gov/gard/755/Aplasia-cutis-congenita-recessive/resources/1
756			Aplasia cutis myopia				http://rarediseases.info.nih.gov/gard/756/Aplasia-cutis-myopia/resources/1
758			Apo A-I deficiency				http://rarediseases.info.nih.gov/gard/758/Apo-A-I-deficiency/resources/1
759			Apolipoprotein C 2I deficiency				http://rarediseases.info.nih.gov/gard/759/Apolipoprotein-C-2I-deficiency/resources/1
762			APUDoma	APUD (amine precursor uptake and decarboxylation)		877	http://rarediseases.info.nih.gov/gard/762/APUDoma/resources/1
763			"Amino aciduria with mental deficiency, dwarfism, muscular dystrophy, osteoporosis and acidosis"		204730		"http://rarediseases.info.nih.gov/gard/763/Amino-aciduria-with-mental-deficiency,-dwarfism,-muscular-dystrophy,-osteoporosis-and-acidosis/resources/1"
764			Arachnodactyly mental retardation dysmorphism				http://rarediseases.info.nih.gov/gard/764/Arachnodactyly-mental-retardation-dysmorphism/resources/1
770			Aromatic amino acid decarboxylase deficiency	AADC deficiency;Aromatic L-amino acid decarboxylase deficiency;DDC deficiency;Dopa decarboxylase deficiency	608643	35708	http://rarediseases.info.nih.gov/gard/770/Aromatic-amino-acid-decarboxylase-deficiency/resources/1
771			Arroyo Garcia Cimadevilla syndrome	"Bilateral anophthalmia, esophageal atresia, and right cryptorchidism"			http://rarediseases.info.nih.gov/gard/771/Arroyo-Garcia-Cimadevilla-syndrome/resources/1
774			Arterial tortuosity syndrome	Arterial tortuosity;ATS	208050	3342	http://rarediseases.info.nih.gov/gard/774/Arterial-tortuosity-syndrome/resources/1
775			Arthritis short stature deafness				http://rarediseases.info.nih.gov/gard/775/Arthritis-short-stature-deafness/resources/1
777			Arthrogryposis multiplex congenita	AMC;Amyoplasia congenita;Arthrogryposis;Arthromyodysplasia congenita;Congenital amyoplasia;Congenital arthromyodysplasia;Congenital multiple arthrogryposis;Fibrous ankylosis of multiple joints;Guerin-Stern syndrome;Guérin-Stern syndrome;Multiple congenital arthrogryposis;Myodysplasia;Myodystrophia fetalis deformans;Otto syndrome;Rocher-Sheldon syndrome;Rossi syndrome	108110	1037	http://rarediseases.info.nih.gov/gard/777/Arthrogryposis-multiplex-congenita/resources/1
779			Arthrogryposis due to muscular dystrophy				http://rarediseases.info.nih.gov/gard/779/Arthrogryposis-due-to-muscular-dystrophy/resources/1
781			Arthrogryposis epileptic seizures migrational brain disorder	Arthrogryposis multiplex congenita with epileptic seizures and migrational brain disorder			http://rarediseases.info.nih.gov/gard/781/Arthrogryposis-epileptic-seizures-migrational-brain-disorder/resources/1
782			Arthrogryposis IUGR thoracic dystrophy	Van Bervliet syndrome			http://rarediseases.info.nih.gov/gard/782/Arthrogryposis-IUGR-thoracic-dystrophy/resources/1
783			Arthrogryposis like disorder		208200		http://rarediseases.info.nih.gov/gard/783/Arthrogryposis-like-disorder/resources/1
784			Arthrogryposis-like hand anomaly and sensorineural deafness	"Arthrogryposis, distal, type 6;Arthrogryposis-like hand anomaly - sensorineural deafness;DA6;Distal arthrogryposis type 6;Familial hand abnormality and sensori-neural deafness"	108200	1144	http://rarediseases.info.nih.gov/gard/784/Arthrogryposis-like-hand-anomaly-and-sensorineural-deafness/resources/1
785			Arthrogryposis multiplex congenita CNS calcification				http://rarediseases.info.nih.gov/gard/785/Arthrogryposis-multiplex-congenita-CNS-calcification/resources/1
786			Arthrogryposis multiplex congenita distal				http://rarediseases.info.nih.gov/gard/786/Arthrogryposis-multiplex-congenita-distal/resources/1
787			Arthrogryposis multiplex congenita distal type 1	AMCD1;Arthrogryposis distal type 1;DA 1;DA1;DA1A;Digitotalar dysmorphism;Distal arthrogryposis type 1	108120	1146	http://rarediseases.info.nih.gov/gard/787/Arthrogryposis-multiplex-congenita-distal-type-1/resources/1
788			"Arthrogryposis multiplex congenita, distal type 2"	"Congenital contractures with major involvement of the hands and feet;Distal arthrogryposis, type 2"	601680		"http://rarediseases.info.nih.gov/gard/788/Arthrogryposis-multiplex-congenita,-distal-type-2/resources/1"
790			Arthrogryposis multiplex congenita neurogenic type	"AMC, neurogenic type;AMCN;Neurogenic type of AMC"	208100		http://rarediseases.info.nih.gov/gard/790/Arthrogryposis-multiplex-congenita-neurogenic-type/resources/1
791			Arthrogryposis multiplex congenita pulmonary hypoplasia	"Arthrogryposis multiplex congenita, pulmonary hypoplasia, cryptorchidism, and unusual ophthalmological findings"			http://rarediseases.info.nih.gov/gard/791/Arthrogryposis-multiplex-congenita-pulmonary-hypoplasia/resources/1
792			Arthrogryposis multiplex congenita whistling face	Illum syndrome;Lethal autosomal recessive arthrogryposis multiplex congenita with whistling face and calcifications of the nervous system	208155	1150	http://rarediseases.info.nih.gov/gard/792/Arthrogryposis-multiplex-congenita-whistling-face/resources/1
794			Arthrogryposis renal dysfunction cholestasis syndrome	"ARC syndrome;Arthrogryposis - renal dysfunction - cholestasis;Arthrogryposis multiplex congenita, renal dysfunction, and cholestasis"	208085	2697	http://rarediseases.info.nih.gov/gard/794/Arthrogryposis-renal-dysfunction-cholestasis-syndrome/resources/1
795			Arthrogryposis spinal muscular atrophy				http://rarediseases.info.nih.gov/gard/795/Arthrogryposis-spinal-muscular-atrophy/resources/1
799			Ataxia telangiectasia variant V1	AT - V1			http://rarediseases.info.nih.gov/gard/799/Ataxia-telangiectasia-variant-V1/resources/1
801			Idiopathic double athetosis				http://rarediseases.info.nih.gov/gard/801/Idiopathic-double-athetosis/resources/1
802			Atrioventricular septal defect				http://rarediseases.info.nih.gov/gard/802/Atrioventricular-septal-defect/resources/1
804			Alagille syndrome	Alagille-Watson syndrome;Arteriohepatic dysplasia;Cardiovertebral syndrome;Cholestasis with peripheral pulmonary stenosis;Hepatic ductular hypoplasia;Hepatofacioneurocardiovertebral syndrome;Paucity of interlobular bile ducts;Syndromic bile duct paucity;Watson Alagille syndrome;Watson-Miller syndrome	118450	52	http://rarediseases.info.nih.gov/gard/804/Alagille-syndrome/resources/1
805			Brainstem auditory evoked responses	BAER			http://rarediseases.info.nih.gov/gard/805/Brainstem-auditory-evoked-responses/resources/1
806			Spastic paraplegia facial cutaneous lesions	Bahemuka Brown syndrome;Bahemuka-Brown syndrome;Spastic paraplegia - facial-cutaneous lesions		2819	http://rarediseases.info.nih.gov/gard/806/Spastic-paraplegia-facial-cutaneous-lesions/resources/1
808			Baker Vinters syndrome	Hydrocephalus with cerebral aqueductal dysgenesis and craniofacial anomalies			http://rarediseases.info.nih.gov/gard/808/Baker-Vinters-syndrome/resources/1
809			Balantidiasis	B coli infection;Balantidiosis;Balantidium coli infection;Ciliary dysentery;Human balantidiasis;Large-intestinal infection with Balantidium coli		1223	http://rarediseases.info.nih.gov/gard/809/Balantidiasis/resources/1
811			Balo disease				http://rarediseases.info.nih.gov/gard/811/Balo-disease/resources/1
812			Bangstad syndrome	"Ataxia - diabetes - goiter - gonadal insufficiency;Bird-headed dwarfism with progressive ataxia, insulin-resistant diabetes, goiter and primary gonadal insufficiency"	210740	1227	http://rarediseases.info.nih.gov/gard/812/Bangstad-syndrome/resources/1
813			Banki syndrome	"Fusion of the lunate and cuneiform bones of the wrist, clinodactyly, clinometacarpy, brachymetacarpy and leptometacarpy (thin diaphysis)"	109300	1228	http://rarediseases.info.nih.gov/gard/813/Banki-syndrome/resources/1
815			Baraitser Brett Piesowicz syndrome	Microcephaly intracranial calcification	251290		http://rarediseases.info.nih.gov/gard/815/Baraitser-Brett-Piesowicz-syndrome/resources/1
816			Orofaciodigital syndrome 4	Baraitser-Burn syndrome;OFD syndrome 4;OFD syndrome with tibial defects;OFD4;OFDS 4;Oral facial digital syndrome 4;Oral facial digital syndrome type 4;Oral-facial-digital syndrome type 4;Orofaciodigital syndrome IV;Orofaciodigital syndrome type 4;Orofaciodigital syndrome with tibial dysplasia	258860	2753	http://rarediseases.info.nih.gov/gard/816/Orofaciodigital-syndrome-4/resources/1
817			Baraitser Rodeck Garner syndrome	"Craniosynostosis, mental retardation, seizures, choroidal coloboma, dysplastic kidneys, bat ears, cleft lip and palate, and beaked nose"	218650		http://rarediseases.info.nih.gov/gard/817/Baraitser-Rodeck-Garner-syndrome/resources/1
819			Barber Say syndrome	"Barber-Say syndrome;Hypertrichosis - atrophic skin - ectropion - macrostomia;Hypertrichosis atrophic skin ectropion macrostomia;Hypertrichosis, atrophic skin, ectropion, and macrostomia"	209885	1231	http://rarediseases.info.nih.gov/gard/819/Barber-Say-syndrome/resources/1
820			Bardet-Biedl syndrome 1	BBS1	209900	110	http://rarediseases.info.nih.gov/gard/820/Bardet-Biedl-syndrome-1/resources/1
821			Bardet-Biedl syndrome 2	BBS2	209900	110	http://rarediseases.info.nih.gov/gard/821/Bardet-Biedl-syndrome-2/resources/1
822			Bardet-Biedl syndrome 3		209900		http://rarediseases.info.nih.gov/gard/822/Bardet-Biedl-syndrome-3/resources/1
823			Bardet-Biedl syndrome 4		209900		http://rarediseases.info.nih.gov/gard/823/Bardet-Biedl-syndrome-4/resources/1
824			Bare lymphocyte syndrome 2	"Bare lymphocyte syndrome type 2;BLS 2;HLA class 2-negative severe combined immunodeficiency;Immunodeficiency by defective expression of HLA class 2;SCID, HLA Class 2-Negative;Severe combined immunodeficiency, HLA class ii-negative"	209920	572	http://rarediseases.info.nih.gov/gard/824/Bare-lymphocyte-syndrome-2/resources/1
825			Barnicoat Baraitser syndrome	Barnicoat-Baraitser syndrome;Polysyndactyly overgrowth syndrome		2936	http://rarediseases.info.nih.gov/gard/825/Barnicoat-Baraitser-syndrome/resources/1
826			Frontometaphyseal dysplasia		305620	1826	http://rarediseases.info.nih.gov/gard/826/Frontometaphyseal-dysplasia/resources/1
830			Bartter syndrome antenatal type 1	Antenatal Bartter Syndrome type 1;Hyperprostaglandin E syndrome 1;Hypokalemic alkalosis with hypercalciuria antenatal 1	601678		http://rarediseases.info.nih.gov/gard/830/Bartter-syndrome-antenatal-type-1/resources/1
831			Basal cell nevus anodontia abnormal bone mineralization				http://rarediseases.info.nih.gov/gard/831/Basal-cell-nevus-anodontia-abnormal-bone-mineralization/resources/1
833			Basaran Yilmaz syndrome	"Keratoderma, hypotrichosis and leukonychia totalis"			http://rarediseases.info.nih.gov/gard/833/Basaran-Yilmaz-syndrome/resources/1
835			Bassoe syndrome	Benign muscular dystrophy with hypergonadotrophic hypogonadism and congenital cataract			http://rarediseases.info.nih.gov/gard/835/Bassoe-syndrome/resources/1
836			Battaglia-Neri syndrome	"Epilepsy - microcephaly - skeletal dysplasia;Mental retardation, microcephaly, epilepsy, and coarse face "	601352	1948	http://rarediseases.info.nih.gov/gard/836/Battaglia-Neri-syndrome/resources/1
838			Bazex-Dupre-Christol syndrome	Acrokeratosis of Bazex;Acrokeratosis paraneoplastica;Bazex syndrome;Bazex-Dupré-Christol syndrome;BDCS;BZX;Follicular atrophoderma and basal cell carcinomas;Follicular atrophoderma-basal cell carcinoma syndrome;Follicular atrophoderma-basocellular proliferations-hypotrichosis syndrome	301845	113;166113	http://rarediseases.info.nih.gov/gard/838/Bazex-Dupre-Christol-syndrome/resources/1
839			Bazopoulou-Kyrkanidou syndrome	"Craniofaciocervical osteoglyphic dysplasia;Hyperbrachycephaly, short face, fused cervical vertebrae, bone defects, and destruction of periodontium"		1800	http://rarediseases.info.nih.gov/gard/839/Bazopoulou-Kyrkanidou-syndrome/resources/1
841			Bd syndrome				http://rarediseases.info.nih.gov/gard/841/Bd-syndrome/resources/1
842			Beardwell syndrome	Ankylosing vertebral hyperostosis with tylosis;Familial ankylosing vertebral hyperostosis with tylosis	106400	2206	http://rarediseases.info.nih.gov/gard/842/Beardwell-syndrome/resources/1
844			Myotonia congenita autosomal recessive	Becker disease;Becker's disease;Generalized myotonia;Myotonia generalized	255700	614	http://rarediseases.info.nih.gov/gard/844/Myotonia-congenita-autosomal-recessive/resources/1
846			Beemer Ertbruggen syndrome	"Beemer lethal malformation syndrome;Beemer-Ertbruggen syndrome;Hydrocephalus - cardiac malformation - dense bones;Hydrocephalus, cardiac malformation, dense bones, etc;Peculiar facial appearance, hydrocephalus, double-outlet right ventricle, genital anomalies and dense bones with lethal outcome"	209970	1237	http://rarediseases.info.nih.gov/gard/846/Beemer-Ertbruggen-syndrome/resources/1
848			Behcet's disease	BD;Behcet disease;Behçet disease;Behcet syndrome;Behcet's syndrome	109650	117	http://rarediseases.info.nih.gov/gard/848/Behcet's-disease/resources/1
849			Behr syndrome	"Optic atrophy in early childhood, associated with ataxia, spasticity, mental retardation, and posterior column sensory loss;Optic atrophy, infantile hereditary, Behr complicated form of"	210000	1239	http://rarediseases.info.nih.gov/gard/849/Behr-syndrome/resources/1
852			Ben Ari Shuper Mimouni syndrome	"Agenesis of corpus callosum with double urinary collecting system, trigonocephaly and minor anomalies"			http://rarediseases.info.nih.gov/gard/852/Ben-Ari-Shuper-Mimouni-syndrome/resources/1
853			Benallegue Lacete syndrome	Benallegue-Lacete syndrome;Cloverleaf skull - asphyxiating thoracic dysplasia;Cloverleaf skull and asphyxiating thoracic dysplasia		100978	http://rarediseases.info.nih.gov/gard/853/Benallegue-Lacete-syndrome/resources/1
855			Benign autosomal dominant myopathy				http://rarediseases.info.nih.gov/gard/855/Benign-autosomal-dominant-myopathy/resources/1
856			"Convulsions, benign familial infantile, 1"	"Benign familial infantile convulsions syndrome;Benign infantile familial convulsions;BFIC;BFIC1;BFIS1;Seizures, benign familial infantile, 1"	601764	306	"http://rarediseases.info.nih.gov/gard/856/Convulsions,-benign-familial-infantile,-1/resources/1"
857			Benign familial infantile epilepsy				http://rarediseases.info.nih.gov/gard/857/Benign-familial-infantile-epilepsy/resources/1
