GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0002276 ! Faulk Epstein Jones syndrome	Orphanet:2064 ! Posterior fusion of lumbosacral vertebrae - blepharoptosis
GARD:0002282 ! Feingold Trainer syndrome	MESH:C536179 ! Feingold Trainer syndrome
GARD:0002294 ! Fetal aminopterin syndrome	Orphanet:1908 ! Aminopterin/methotrexate embryofetopathy
GARD:0002294 ! Fetal aminopterin syndrome	Orphanet:1909 ! Indomethacin embryofetopathy
GARD:0002303 ! Fetal indomethacin syndrome	Orphanet:1909 ! Indomethacin embryofetopathy
GARD:0002304 ! Fetal iodine syndrome	Orphanet:1910 ! Fetal iodine syndrome
GARD:0002307 ! Fetal methyl mercury syndrome	Orphanet:1917 ! Fetal methylmercury syndrome
GARD:0002308 ! Fetal minoxidil syndrome	Orphanet:1918 ! Fetal minoxidil syndrome
GARD:0002310 ! Fetal parvovirus syndrome	Orphanet:295 ! Fetal parvovirus syndrome
GARD:0002315 ! Fetal warfarin syndrome	Orphanet:1914 ! Embryofetopathy due to oral anticoagulant therapy
GARD:0002320 ! Fibrinogen deficiency, congenital	Orphanet:335 ! Congenital fibrinogen deficiency
GARD:0002327 ! Fibrosarcoma	DOID:3355 ! fibrosarcoma
GARD:0002346 ! FLOTCH syndrome	Orphanet:2045 ! FLOTCH syndrome
GARD:0002351 ! Foix Chavany Marie syndrome	MESH:C537069 ! Foix Chavany Marie syndrome
GARD:0002361 ! Formaldehyde poisoning	MESH:C537268 ! Formaldehyde poisoning
GARD:0002371 ! Franceschini Vardeu Guala syndrome	MESH:C537272 ! Franceschini Vardeu Guala syndrome
GARD:0002373 ! Fraser Jequier Chen syndrome	MESH:C535481 ! Fraser Jequier Chen syndrome
GARD:0002380 ! Freiberg's disease	MESH:C535636 ! Freiberg's disease
GARD:0002381 ! Freire-Maia odontotrichomelic syndrome	MESH:C535637 ! Freire-Maia odontotrichomelic syndrome
GARD:0002393 ! Frontonasal dysplasia acromelic	Orphanet:1827 ! Acromelic frontonasal dysplasia
GARD:0002430 ! Ganglioglioma	DOID:5078 ! ganglioglioma
GARD:0002437 ! Gastro-enteropancreatic neuroendocrine tumor	Orphanet:100092 ! Gastroenteropancreatic endocrine tumor
GARD:0002455 ! Genetic reflex epilepsy	DOID:2548 ! reflex epilepsy
GARD:0002462 ! German syndrome	OMIM:231080 ! German syndrome
GARD:0002467 ! Ghose Sachdev Kumar syndrome	MESH:C537803 ! Ghose Sachdev Kumar syndrome
GARD:0002479 ! Glass Chapman Hockley syndrome	Orphanet:1535 ! Craniosynostosis - dysmorphism - brachydactyly
GARD:0002485 ! Glaucoma, congenital	OMIM:231300 ! Glaucoma 3, Primary Congenital, A
GARD:0002486 ! Glaucoma, hereditary	Orphanet:359 ! Hereditary glaucoma
GARD:0002496 ! Glucagonoma	Orphanet:97280 ! Glucagonoma
GARD:0002499 ! Glucocorticoid resistance	OMIM:615962 ! Glucocorticoid Receptor Deficiency
GARD:0002499 ! Glucocorticoid resistance	Orphanet:786 ! Glucocorticoid resistance
GARD:0002505 ! Glutamate decarboxylase deficiency	OMIM:266100 ! Pyridoxine-dependent epilepsy
GARD:0002523 ! Gms syndrome	OMIM:138770 ! GMS syndrome
GARD:0002538 ! Gonadal dysgenesis	DOID:14447 ! gonadal dysgenesis
GARD:0002539 ! Gonadal dysgenesis mixed	DOID:14449 ! mixed gonadal dysgenesis
GARD:0002540 ! Gonadal dysgenesis Turner type	DOID:3491 ! Turner syndrome
GARD:0002541 ! Gonadal dysgenesis XY type associated anomalies	OMIM:233430 ! Gonadal dysgenesis, XY type - associated anomalies
GARD:0002545 ! Goniodysgenesis mental retardation short stature	OMIM:138770 ! GMS syndrome
GARD:0002546 ! Gonococcal conjunctivitis	Orphanet:1482 ! Gonococcal conjunctivitis
GARD:0002558 ! Grand Kaine Fulling syndrome	Orphanet:3421 ! Cerebroretinal vasculopathy
GARD:0002604 ! Hashimoto-Pritzker syndrome	Orphanet:99872 ! Hashimoto-Pritzker syndrome
GARD:0002619 ! Heart tumor	DOID:117 ! heart cancer
GARD:0002651 ! Hepatic cystic hamartoma	Orphanet:386 ! Hepatic cystic hamartoma
GARD:0002669 ! Herpes virus antenatal infection	Orphanet:293 ! Congenital herpes virus infection
GARD:0002671 ! Herrmann Opitz craniosynostosis	Orphanet:2145 ! Craniosynostosis, Herrmann-Opitz type
GARD:0002672 ! Hersh Podruch Weisskopk syndrome	Orphanet:1920 ! Toluene embryopathy
GARD:0002695 ! Hirschsprung disease ganglioneuroblastoma	OMIM:613013 ! Neuroblastoma, Susceptibility To, 2
GARD:0002695 ! Hirschsprung disease ganglioneuroblastoma	Orphanet:2151 ! Hirschsprung disease - ganglioneuroblastoma
GARD:0002698 ! Hirschsprung disease type 2	OMIM:600155 ! Hirschsprung Disease, Susceptibility To, 2
GARD:0002703 ! Hirschsprung nail hypoplasia dysmorphism	Orphanet:2153 ! Hirschsprung disease - nail hypoplasia - dysmorphism
GARD:0002705 ! Hirsutism skeletal dysplasia mental retardation	OMIM:142625 ! Wiedemann Oldigs Oppermann syndrome
GARD:0002722 ! Holoprosencephaly caudal dysgenesis	Orphanet:2165 ! Holoprosencephaly - caudal dysgenesis
GARD:0002725 ! Holoprosencephaly ectrodactyly cleft lip palate	Orphanet:2117 ! Hartsfield-Bixler-Demyer syndrome
GARD:0002736 ! Hordnes Engebretsen Knudtson syndrome	MESH:C536067 ! Hordnes Engebretsen Knudtson syndrome
GARD:0002737 ! Horn Kolb syndrome	OMIM:200500 ! acheiropody
GARD:0002742 ! Houlston Ironton Temple syndrome	Orphanet:1352 ! Atrioventricular defect - blepharophimosis -radial defects
GARD:0002748 ! Humeroradial synostosis	DC:0000532 ! Humeroradial Synostosis
GARD:0002748 ! Humeroradial synostosis	OMIM:143050 ! Humeroradial Synostosis
GARD:0002748 ! Humeroradial synostosis	OMIM:236400 ! Humeroradial Multiple Synostosis Syndrome
GARD:0002749 ! Humeroradioulnar synostosis	Orphanet:3266 ! Humero-radio-ulnar synostosis
GARD:0002764 ! Hydatidosis	DOID:1496 ! echinococcosis
GARD:0002781 ! Hydronephrosis peculiar facial expression	DOID:0050816 ! urofacial syndrome
GARD:0002781 ! Hydronephrosis peculiar facial expression	OMIM:236730 ! Urofacial syndrome
GARD:0002787 ! Hymenolepiasis	DOID:10074 ! hymenolepiasis
GARD:0002793 ! Hyperbilirubinemia type 2	OMIM:237500 ! Dubin-Johnson syndrome
GARD:0002832 ! Hyperostosis cortical infantile	OMIM:114000 ! Caffey disease
GARD:0002874 ! Hypoaldosteronism	Orphanet:181419 ! Rare hypoaldosteronism
GARD:0002874 ! Hypoaldosteronism	Orphanet:427 ! Familial hypoaldosteronism
GARD:0002893 ! Hypogonadism male mental retardation skeletal anomaly	OMIM:307500 ! Hypogonadism, Male, With Mental Retardation And Skeletal Anomalies
GARD:0002897 ! Hypogonadism, isolated, hypogonadotropic	OMIM:146110 ! Idiopathic Hypogonadotropic Hypogonadism
GARD:0002914 ! Hypoparathyroidism X-linked	OMIM:307700 ! Hypoparathyroidism, X-Linked
GARD:0002917 ! Hypopituitarism	DOID:9406 ! hypopituitarism
GARD:0002984 ! Immune deficiency, familial variable	OMIM:146830 ! Immune Deficiency, Familial Variable
GARD:0002995 ! Infant epilepsy with migrant focal crisis	Orphanet:1943 ! Infant epilepsy with migrant focal crisis
GARD:0003033 ! Isosporiasis	DOID:2112 ! cystoisosporiasis
GARD:0003040 ! Jaffer Beighton syndrome	MESH:C537561 ! Jaffer Beighton syndrome
GARD:0003055 ! Jones Hersh Yusk syndrome	MESH:C535885 ! Jones Hersh Yusk syndrome
GARD:0003057 ! Jorgenson Lenz syndrome	Orphanet:1256 ! Blepharophimosis - radioulnar synostosis
GARD:0003061 ! Judge Misch Wright syndrome	MESH:C537692 ! Judge Misch Wright syndrome
GARD:0003076 ! Kaplowitz Bodurtha syndrome	MESH:C536893 ! Kaplowitz Bodurtha syndrome
GARD:0003077 ! Kaposiform Hemangioendothelioma	Orphanet:2122 ! Kaposiform hemangioendothelioma
GARD:0003081 ! Katsantoni Papadakou Lagoyanni syndrome	MESH:C537012 ! Katsantoni Papadakou Lagoyanni syndrome
GARD:0003131 ! Koone Rizzo Elias syndrome	MESH:C537023 ! Koone Rizzo Elias syndrome
GARD:0003136 ! Kozlowski Brown Hardwick syndrome	MESH:C537506 ! Kozlowski Brown Hardwick syndrome
GARD:0003139 ! Kozlowski Ouvrier syndrome	MESH:C537508 ! Kozlowski Ouvrier syndrome
GARD:0003140 ! Kozlowski Rafinski Klicharska syndrome	MESH:C537509 ! Kozlowski Rafinski Klicharska syndrome
GARD:0003141 ! Kozlowski-Krajewska syndrome	Orphanet:3082 ! Intellectual disability - polydactyly - uncombable hair
GARD:0003143 ! Krauss Herman Holmes syndrome	Orphanet:3293 ! Telecanthus - hypertelorism - strabismus - pes cavus
GARD:0003144 ! Krieble Bixler syndrome	MESH:C537619 ! Krieble Bixler syndrome
GARD:0003152 ! Kuster syndrome	MESH:C538126 ! Kuster syndrome
GARD:0003157 ! Lachiewicz Sibley syndrome	MESH:C538131 ! Lachiewicz Sibley syndrome
GARD:0003167 ! Lagophthalmia cleft lip palate	OMIM:119580 ! Blepharo-cheilo-odontic syndrome
GARD:0003172 ! Landy-Donnai syndrome	MESH:C537266 ! Landy Donnai syndrome
GARD:0003177 ! Laplane Fontaine Lagardere syndrome	OMIM:272450 ! Laplane Fontaine Lagardere syndrome
GARD:0003178 ! Large B cell diffuse lymphoma	DOID:0050745 ! diffuse large B-cell lymphoma
GARD:0003191 ! Laryngocele	Orphanet:2372 ! Laryngocele
GARD:0003214 ! Leg absence deformity cataract	Orphanet:2310 ! Absence deformity of leg - cataract
GARD:0003218 ! Leiomyomatosis familial	DOID:5138 ! leiomyomatosis
GARD:0003244 ! Leydig cells hypoplasia	OMIM:238320 ! Leydig Cell Hypoplasia
GARD:0003244 ! Leydig cells hypoplasia	Orphanet:755 ! Leydig cell hypoplasia
GARD:0003249 ! Iida Kannari syndrome	MESH:C536284 ! Iida Kannari syndrome
GARD:0003259 ! Linear hamartoma syndrome	Orphanet:2611 ! Linear verrucous nevus syndrome
GARD:0003276 ! Lissencephaly syndrome type 1	OMIM:607432 ! Lissencephaly 1
GARD:0003276 ! Lissencephaly syndrome type 1	Orphanet:102009 ! Classic lissencephaly
GARD:0003283 ! Loiasis	DOID:13523 ! loiasis
GARD:0003360 ! Malignant germ cell tumor	DOID:2994 ! germ cell cancer
GARD:0003369 ! Malignant mesenchymal tumor	Orphanet:3394 ! Soft tissue sarcoma
GARD:0003388 ! Marfanoid mental retardation syndrome autosomal	OMIM:248770 ! Marfanoid Mental Retardation Syndrome, Autosomal
GARD:0003399 ! Maroteaux Stanescu Cousin syndrome	Orphanet:1423 ! Lethal recessive chondrodysplasia
GARD:0003407 ! Massa Casaer Ceulemans syndrome	MESH:C536031 ! Massa Casaer Ceulemans syndrome
GARD:0003429 ! Microcephaly, primary autosomal recessive	MESH:C579935 ! Autosomal Recessive Primary Microcephaly
GARD:0003431 ! McPherson Robertson Cammarano syndrome	MESH:C538161 ! McPherson Robertson Cammarano syndrome
GARD:0003434 ! Measles	DOID:8622 ! measles
GARD:0003450 ! Mehta Lewis Patton syndrome	MESH:C536147 ! Mehta Lewis Patton syndrome
GARD:0003454 ! Meigel disease	OMIM:203760 ! Alpha-2-Deficient Collagen Disease
GARD:0003460 ! Melanoma, familial	DOID:1909 ! melanoma
GARD:0003460 ! Melanoma, familial	DOID:6846 ! familial melanoma
GARD:0003460 ! Melanoma, familial	OMIM:155600 ! Melanoma
GARD:0003462 ! Melhem Fahl syndrome	Orphanet:2482 ! Melhem-Fahl syndrome
GARD:0003471 ! Meningocele	DOID:1088 ! meningocele
GARD:0003475 ! Myelomeningocele	DOID:0060326 ! myelomeningocele
GARD:0003492 ! Mental retardation gynecomastia obesity X-linked	OMIM:309585 ! Wilson-Turner X-linked mental retardation syndrome
GARD:0003529 ! Intellectual deficit unusual facies talipes hand anomalies	Orphanet:293978 ! Deficiency in anterior pituitary function-variable immunodeficiency syndrome
GARD:0003590 ! Michels Caskey syndrome	MESH:C537576 ! Michels Caskey syndrome
GARD:0003603 ! Microcephaly	DOID:10907 ! microcephaly
GARD:0003617 ! Microcephaly hypergonadotropic hypogonadism short stature	Orphanet:2558 ! Mikati-Najjar-Sahli syndrome
GARD:0003628 ! Microcephaly micropenis convulsions	MESH:C537540 ! Microcephaly seizures genital hypoplasia
GARD:0003629 ! Microcephaly microphthalmos blindness	MESH:C537541 ! Microcephaly microphthalmos blindness
GARD:0003630 ! Microcephaly nonsyndromal	MESH:C537542 ! Microcephaly nonsyndromal
GARD:0003632 ! Microcephaly seizures mental retardation heart disorders	MESH:C537544 ! Microcephaly seizures mental retardation heart disorders
GARD:0003633 ! Microcephaly sparse hair mental retardation seizures	MESH:C537545 ! Microcephaly sparse hair mental retardation seizures
GARD:0003636 ! Microcornea corectopia macular hypoplasia	Orphanet:2535 ! Microcornea - corectopia - macular hypoplasia
GARD:0003638 ! Microdontia hypodontia short stature	MESH:C537553 ! Microdontia hypodontia short stature
GARD:0003655 ! Microsporidiosis	DOID:4271 ! microsporidiosis
GARD:0003670 ! Milner Khallouf Gibson syndrome	MESH:C537473 ! Milner Khallouf Gibson syndrome
GARD:0003690 ! Mixed sclerosing bone dystrophy	Orphanet:1879 ! Melorheostosis with osteopoikilosis
GARD:0003698 ! Moebius axonal neuropathy hypogonadism	MESH:C535806 ! Moebius axonal neuropathy hypogonadism
GARD:0003704 ! Moloney syndrome	Orphanet:1433 ! Choroidal atrophy - alopecia
GARD:0003726 ! Mosaic monosomy 18	MESH:C536581 ! Chromosome 18 mosaic monosomy
GARD:0003765 ! Chromosome 7q deletion	OMIM:252270 ! Monosomy 7 of Bone Marrow
GARD:0003787 ! WDHA syndrome	DOID:6977 ! pancreatic cholera
GARD:0003800 ! MSBD syndrome	Orphanet:1879 ! Melorheostosis with osteopoikilosis
GARD:0003867 ! Myeloid splenomegaly	MESH:C536094 ! Myeloid splenomegaly
GARD:0003934 ! Neonatal ovarian cyst	MESH:C536396 ! Neonatal ovarian cyst
GARD:0003950 ! Neural crest tumor	MESH:C536408 ! Neural crest tumor
GARD:0003959 ! Neuroectodermal endocrine syndrome	Orphanet:2676 ! Neuroectodermal-endocrine syndrome
GARD:0003963 ! Neuroepithelioma	Orphanet:2677 ! Neuroepithelioma
GARD:0003982 ! Neutropenia monocytopenia deafness	Orphanet:2690 ! Neutropenia - monocytopenia - deafness
GARD:0003994 ! Night blindness skeletal anomalies unusual facies	MESH:C536121 ! Night blindness skeletal anomalies unusual facies
GARD:0003999 ! Noble Bass Sherman syndrome	Orphanet:1884 ! Ectopia lentis - chorioretinal dystrophy - myopia
GARD:0004001 ! Noma	DOID:9672 ! noma
GARD:0004002 ! Non functioning pancreatic endocrine tumor	DOID:7698 ! non-functioning pancreatic endocrine tumor
GARD:0004065 ! Oligodactyly tetramelic postaxial	OMIM:176240 ! Postaxial tetramelic oligodactyly
GARD:0004107 ! Optic pathway glioma	Orphanet:2086 ! Optic pathway glioma
GARD:0004108 ! Opticoacoustic nerve atrophy dementia	OMIM:311150 ! Jensen syndrome
GARD:0004116 ! Oro-mandibular-limb hypogenesis syndrome	Orphanet:2749 ! Oromandibular-limb hypogenesis syndrome
GARD:0004158 ! Osteopoikilosis	DOID:11991 ! osteopoikilosis
GARD:0004163 ! Osteosclerosis abnormalities of nervous system and meninges	Orphanet:79093 ! Foix-Alajouanine syndrome
GARD:0004174 ! Otosclerosis, familial	DOID:12185 ! otosclerosis
GARD:0004174 ! Otosclerosis, familial	OMIM:166800 ! Otosclerosis
GARD:0004206 ! Pancreatic carcinoma, familial	DOID:4905 ! pancreatic carcinoma
GARD:0004206 ! Pancreatic carcinoma, familial	OMIM:260350 ! Pancreatic Carcinoma
GARD:0004208 ! Pancreatic lipomatosis duodenal stenosis	MESH:C535839 ! Pancreatic lipomatosis duodenal stenosis
GARD:0004210 ! Pancreatoblastoma	DOID:6823 ! pancreatoblastoma
GARD:0004236 ! Parvovirus antenatal infection	Orphanet:295 ! Fetal parvovirus syndrome
GARD:0004255 ! Patella hypoplasia mental retardation	MESH:C536308 ! Patella hypoplasia mental retardation
GARD:0004261 ! Pauciarticular chronic arthritis	Orphanet:85410 ! Oligoarticular juvenile arthritis
GARD:0004262 ! Syndactyly type 1 with cataracts and mental retardation	MESH:C536313 ! Pavone Fiumara Rizzo syndrome
GARD:0004303 ! Pfeiffer Kapferer syndrome	Orphanet:3224 ! Deafness - genital anomalies - metacarpal and metatarsal synostosis
GARD:0004306 ! Pfeiffer Rockelein syndrome	MESH:C537890 ! Pfeiffer Rockelein syndrome
GARD:0004308 ! Pfeiffer Tietze Welte syndrome	MESH:C537891 ! Pfeiffer Tietze Welte syndrome
GARD:0004311 ! Phacomatosis pigmentokeratotica	MESH:C537893 ! Phacomatosis pigmentokeratotica
GARD:0004312 ! Phacomatosis pigmentovascularis	MESH:C537894 ! Phacomatosis pigmentovascularis
GARD:0004345 ! Piepkorn Karp Hickok syndrome	MESH:C535774 ! Piepkorn Karp Hickok syndrome
GARD:0004368 ! Pilotto syndrome	Orphanet:2894 ! Pilotto syndrome
GARD:0004375 ! Piussan Lenaerts Mathieu syndrome	Orphanet:1078 ! Thumb stiffness - brachydactyly - intellectual disability
GARD:0004387 ! Podder-Tolmie syndrome	MESH:C537518 ! Podder-Tolmie syndrome
GARD:0004395 ! Pointer syndrome	MESH:C536323 ! Pointer syndrome
GARD:0004420 ! Polymicrogyria turricephaly hypogenitalism	Orphanet:2925 ! Polymicrogyria - turricephaly - hypogenitalism
GARD:0004434 ! Syndactyly type 4	OMIM:186200 ! Syndactyly type 4
GARD:0004454 ! Post Polio syndrome	DOID:0060259 ! renal-hepatic-pancreatic dysplasia
GARD:0004454 ! Post Polio syndrome	DOID:4952 ! postpoliomyelitis syndrome
GARD:0004456 ! Postaxial polydactyly mental retardation	OMIM:258200 ! Oliver syndrome
GARD:0004462 ! Potter syndrome	DOID:12594 ! Potter's syndrome
GARD:0004474 ! Precocious puberty, gonadotropin-dependent	Orphanet:759 ! Central precocious puberty
GARD:0004500 ! Acromelanosis	Orphanet:39 ! Acromelanosis
GARD:0004508 ! Prolactinoma, familial	OMIM:600634 ! prolactinoma
GARD:0004513 ! Properdin deficiency	Orphanet:2966 ! Properdin deficiency
GARD:0004522 ! Protein R deficiency	Orphanet:2967 ! Protein R deficiency
GARD:0004545 ! Pseudoarylsulfatase A deficiency	OMIM:250100 ! Pseudoarylsulfatase A Deficiency
GARD:0004559 ! Pseudopapilledema blepharophimosis hand anomalies	OMIM:264475 ! Acro-oto-ocular syndrome
GARD:0004586 ! Pulmonary artery coming from the aorta	Orphanet:99050 ! Pulmonary artery coming from the aorta
GARD:0004589 ! Pulmonary branches stenosis	Orphanet:99084 ! Pulmonary branch stenosis
GARD:0004592 ! Pulmonary hypoplasia familial primary	OMIM:265430 ! Familial primary pulmonary hypoplasia
GARD:0004594 ! Pulmonary supravalvular stenosis	Orphanet:3192 ! Supravalvular pulmonary stenosis
GARD:0004596 ! Pulmonary valve stenosis	DOID:6420 ! pulmonary valve stenosis
GARD:0004597 ! Pulmonary valves agenesis	Orphanet:982 ! Pulmonary valve agenesis
GARD:0004607 ! Thrombotic thrombocytopenic purpura, acquired	OMIM:274150 ! Congenital thrombotic thrombocytopenic purpura due to ADAMTS-13 deficiency
GARD:0004607 ! Thrombotic thrombocytopenic purpura, acquired	Orphanet:93585 ! Acquired thrombotic thrombocytopenic purpura
GARD:0004616 ! Pyridoxine deficiency	DOID:8455 ! pyridoxine deficiency anemia
GARD:0004624 ! Radial defect Robin sequence	MESH:C536261 ! Radial defect Robin sequence
GARD:0004645 ! Recurrent peripheral facial palsy	OMIM:134200 ! Familial recurrent peripheral facial palsy
GARD:0004655 ! Renal caliceal diverticuli deafness	Orphanet:2838 ! Renal caliceal diverticuli - deafness
GARD:0004656 ! Renal carcinoma, familial	DOID:4451 ! renal carcinoma
GARD:0004664 ! Renal genital middle ear anomalies	OMIM:267400 ! Renal-genital-middle ear anomalies
GARD:0004680 ! Retinal dysplasia X-linked	Orphanet:1852 ! X-linked retinal dysplasia
GARD:0004681 ! Retinal telangiectasia hypogammaglobulinemia	OMIM:267900 ! Frenkel Russe syndrome
GARD:0004685 ! Retinohepatoendocrinologic syndrome	OMIM:268040 ! Retinohepatoendocrinologic syndrome
GARD:0004711 ! Richieri Costa Guion Almeida syndrome	OMIM:268850 ! Sao Paulo MCA/MR Syndrome
GARD:0004711 ! Richieri Costa Guion Almeida syndrome	Orphanet:2649 ! Short stature - intellectual disability - eye anomalies - cleft lip/palate
GARD:0004725 ! Ringed hair disease	OMIM:180600 ! Ringed hair disease
GARD:0004735 ! Rodini Richieri Costa syndrome	Orphanet:1258 ! Blepharoptosis - cleft palate - ectrodactyly - dental anomalies
GARD:0004737 ! Rokitansky sequence	Orphanet:247775 ! Classic Mayer-Rokitansky-KC<ster-Hauser syndrome
GARD:0004742 ! Rubella	DOID:8781 ! rubella
GARD:0004747 ! Ruvalcaba Churesigaew Myhre syndrome	MESH:C537190 ! Ruvalcaba Churesigaew Myhre syndrome
GARD:0004752 ! Sacral meningocele conotruncal heart defects	Orphanet:2351 ! Kousseff syndrome
GARD:0004766 ! Childhood-Onset Schizophrenia	MESH:D012561 ! Schizophrenia, Childhood
GARD:0004767 ! Schwannoma	DOID:12689 ! acoustic neuroma
GARD:0004767 ! Schwannoma	DOID:3192 ! neurilemmoma
GARD:0004770 ! Sclerosing bone dysplasia mental retardation	MESH:C537523 ! Sclerosing bone dysplasia mental retardation
GARD:0004780 ! Sebocystomatosis	OMIM:184500 ! Sebocystomatosis
GARD:0004859 ! Shoulder and thorax deformity congenital heart disease	Orphanet:1940 ! Shoulder and thorax deformity - congenital heart disease
GARD:0004867 ! Siegler Brewer Carey syndrome	Orphanet:3167 ! Siegler-Brewer-Carey syndrome
GARD:0004868 ! Silengo Lerone Pelizza syndrome	MESH:C537336 ! Silengo Lerone Pelizza syndrome
GARD:0004876 ! Singh Chhaparwal Dhanda syndrome	MESH:C537341 ! Singh Chhaparwal Dhanda syndrome
GARD:0004880 ! Sinus node disease and myopia	OMIM:182190 ! Sinus Node Disease and Myopia
GARD:0004893 ! Slavotinek Pike Mills Hurst syndrome	MESH:C536672 ! Slavotinek Pike Mills Hurst syndrome
GARD:0004898 ! Soft tissue sarcoma	Orphanet:3394 ! Soft tissue sarcoma
GARD:0004899 ! Sohval Soffer syndrome	Orphanet:2234 ! Male hypergonadotropic hypogonadism - intellectual disability - skeletal anomalies
GARD:0004900 ! Somatostatinoma	DOID:4430 ! somatostatinoma
GARD:0004912 ! Spastic paraparesis	MESH:D020336 ! Paraparesis, Spastic
GARD:0004931 ! Spastic paresis glaucoma mental retardation	OMIM:270850 ! Spastic Paresis, Glaucoma, and Mental Retardation
GARD:0004940 ! Spina bifida hypospadias	Orphanet:3176 ! Spina bifida - hypospadias
GARD:0004943 ! Spinal dysostosis type Anhalt	OMIM:601344 ! Spinal Dysplasia, Anhalt Type
GARD:0004950 ! Spinocerebellar ataxia 30	OMIM:613371 ! Spinocerebellar ataxia type 30
GARD:0004971 ! Spondylarthropathy	OMIM:106300 ! Spondylarthropathies
GARD:0004988 ! Spondylohypoplasia, arthrogryposis and popliteal pterygium	MESH:C535790 ! Spondylohypoplasia, arthrogryposis and popliteal pterygium
GARD:0004998 ! Spotted fever	DOID:11104 ! spotted fever
GARD:0005012 ! Sternal cleft	Orphanet:2017 ! Sternal cleft
GARD:0005015 ! Steroid dehydrogenase deficiency dental anomalies	Orphanet:3196 ! Steroid dehydrogenase deficiency - dental anomalies
GARD:0005015 ! Steroid dehydrogenase deficiency dental anomalies	Orphanet:319600 ! Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency
GARD:0005033 ! Stomach cancer, familial	DOID:10534 ! stomach cancer
GARD:0005033 ! Stomach cancer, familial	DOID:5517 ! stomach carcinoma
GARD:0005050 ! Subependymal nodular heterotopia	Orphanet:101030 ! Subependymal nodular heterotopia
GARD:0005051 ! Subpulmonary stenosis	Orphanet:3190 ! Subpulmonary stenosis
GARD:0005074 ! Symphalangism distal	OMIM:185700 ! Distal symphalangism
GARD:0005094 ! Synostosis of talus and calcaneus short stature	OMIM:186570 ! Synostosis of Talus and Calcaneus with Short Stature
GARD:0005100 ! Syringocystadenoma papilliferum	DOID:5445 ! syringocystadenoma papilliferum
GARD:0005107 ! T cell immunodeficiency primary	MESH:C536780 ! T cell immunodeficiency primary
GARD:0005114 ! Tang Hsi Ryu syndrome	MESH:C536897 ! Tang Hsi Ryu syndrome
GARD:0005117 ! TAU syndrome	MESH:C536944 ! Thrombocytopenia absent ulnar syndrome
GARD:0005136 ! Temporomandibular ankylosis	MESH:C536957 ! Temporomandibular ankylosis
GARD:0005144 ! Tetanus	DOID:11338 ! tetanus
GARD:0005161 ! Central post-stroke pain	DOID:4662 ! thalamic disease
GARD:0005167 ! Theodor Hertz Goodman syndrome	MESH:C536509 ! Theodor Hertz Goodman syndrome
GARD:0005175 ! Thomas syndrome	Orphanet:3316 ! Thomas syndrome
GARD:0005185 ! Thoracopelvic dysostosis	OMIM:187770 ! Thoracopelvic Dysostosis
GARD:0005193 ! Thrombocytopenia Robin sequence	Orphanet:3323 ! Thrombocytopenia - Robin sequence
GARD:0005201 ! Thymic epithelial tumor	Orphanet:3398 ! Thymic epithelial neoplasm
GARD:0005211 ! Tibiae bowed radial anomalies osteopenia fracture	Orphanet:3331 ! Bowed tibiae  - radial anomalies - osteopenia - fractures
GARD:0005216 ! Tick-borne encephalitis	DOID:0050175 ! tick-borne encephalitis
GARD:0005218 ! Tollner Horst Manzke syndrome	MESH:C536964 ! Tollner Horst Manzke syndrome
GARD:0005234 ! Tracheobronchomegaly	OMIM:275300 ! Mounier-KC<hn syndrome
GARD:0005242 ! Transverse limb deficiency hemangioma	Orphanet:2486 ! Transverse limb deficiency - hemangioma
GARD:0005257 ! Tricho retino dento digital syndrome	OMIM:191482 ! Tricho-retino-dento-digital syndrome
GARD:0005261 ! Trichodysplasia xeroderma	OMIM:190360 ! Trichodysplasia - xeroderma
GARD:0005263 ! Trichofolliculoma	Orphanet:864 ! Trichofolliculoma
GARD:0005267 ! Trichoodontoonychial dysplasia	Orphanet:3355 ! Trichoodontoonychial dysplasia
GARD:0005280 ! Trigonocephaly ptosis mental retardation	OMIM:243310 ! Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
GARD:0005304 ! Trisomy 12 mosaicism	Orphanet:1698 ! Mosaic trisomy 12
GARD:0005318 ! Chromosome 17p duplication	Orphanet:261290 ! Trisomy 17p
GARD:0005332 ! Chromosome 20 trisomy	Orphanet:1724 ! Mosaic trisomy 20
GARD:0005333 ! Chromosome 20p duplication	Orphanet:261318 ! Trisomy 20p
GARD:0005333 ! Chromosome 20p duplication	Orphanet:261323 ! 21q22.11q22.12 microdeletion syndrome
GARD:0005335 ! Trisomy 22	MESH:C536799 ! Chromosome 22, trisomy
GARD:0005345 ! Chromosome 3q duplication	MESH:C536813 ! Chromosome 3, trisomy 3q
GARD:0005354 ! Mosaic trisomy 7	Orphanet:1747 ! Mosaic trisomy 7
GARD:0005361 ! Chromosome 8p duplication	Orphanet:264450 ! Trisomy 8p
GARD:0005364 ! Chromosome 9p duplication	Orphanet:236 ! Trisomy 9p
GARD:0005369 ! Chromosome Xq duplication	MESH:C536732 ! Chromosome Xq duplication syndrome
GARD:0005376 ! Trueb Burg Bottani syndrome	Orphanet:3357 ! Autosomal dominant trichoodontoonychodysplasia-syndactyly
